Suzan DelBene,Democrat,House,WA,SEATTLE CITY LIGHT,N/A,20 Feb,2 Feb 2023,17,Joint,BUY,50K–100K,N/A,20003759042
Pete Ricketts,Republican,Senate,NE,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY,N/A,17 Feb,9 Feb 2023,8,Spouse,BUY,50K–100K,N/A,10000060684
Pete Ricketts,Republican,Senate,NE,STATE OF GEORGIA,N/A,17 Feb,6 Feb 2023,11,Spouse,SELL,100K–250K,N/A,10000060685
Pete Ricketts,Republican,Senate,NE,AUBREY INDEPENDENT SCHOOL DISTRICT,N/A,17 Feb,26 Jan 2023,22,Spouse,SELL,50K–100K,N/A,10000060686
Pete Ricketts,Republican,Senate,NE,STATE OF MASSACHUSETTS,N/A,17 Feb,24 Jan 2023,24,Spouse,SELL,100K–250K,N/A,10000060687
Pete Ricketts,Republican,Senate,NE,STATE OF NEW YORK GENERAL OBLIGATION BONDS,N/A,17 Feb,18 Jan 2023,30,Spouse,SELL,100K–250K,N/A,10000060688
Gary Peters,Democrat,Senate,MI,CITY OF MILWAUKEE WISCONSIN,N/A,16 Feb,3 Feb 2023,13,Self,BUY,1K–15K,N/A,10000060682
Gary Peters,Democrat,Senate,MI,EL PASO INDEPENDENT SCHOOL DISTRICT,N/A,16 Feb,9 Feb 2023,7,Self,BUY,15K–50K,N/A,10000060683
Maria Elvira Salazar,Republican,House,FL,STORM SHIELD OF MIAMI INC,N/A,16 Feb,28 Jan 2023,18,Undisclosed,BUY,1K–15K,N/A,20003759020
Maria Elvira Salazar,Republican,House,FL,US TREASURY BILLS,N/A,16 Feb,19 Jan 2023,27,Undisclosed,SELL,15K–50K,N/A,20003759021
Maria Elvira Salazar,Republican,House,FL,US TREASURY BILLS,N/A,16 Feb,27 Jan 2023,19,Undisclosed,BUY,15K–50K,N/A,20003759022
Chuck Fleischmann,Republican,House,TN,iShares Gold Trust,IAU:US,16 Feb,23 Jan 2023,21,Joint,SELL,1K–15K,36.62,20003759024
