Chuck Fleischmann,Republican,House,TN,SPDR GOLD MINISHARES TR,GLDM:US,16 Feb,23 Jan 2023,21,Joint,BUY,1K–15K,38.33,20003759037
Rob Wittman,Republican,House,VA,AB GLOBAL BOND FUND INC,ANAGX:US,15 Feb,17 Jan 2023,29,Undisclosed,BUY,15K–50K,6.88,20003759010
Rob Wittman,Republican,House,VA,Baxter International Inc,BAX:US,15 Feb,20 Jan 2023,26,Undisclosed,SELL,1K–15K,43.88,20003759011
Rob Wittman,Republican,House,VA,Elevance Health Inc,ELV:US,15 Feb,3 Jan 2023,43,Undisclosed,SELL,1K–15K,502.2,20003759012
Rob Wittman,Republican,House,VA,HARDING LOEVNER INTERNATIONAL EQUITY PORTFOLIO,HLMIX:US,15 Feb,20 Jan 2023,26,Undisclosed,BUY,1K–15K,25.39,20003759013
Rob Wittman,Republican,House,VA,HARDING LOEVNER INTERNATIONAL EQUITY PORTFOLIO,HLMIX:US,15 Feb,4 Jan 2023,42,Undisclosed,BUY,15K–50K,23.89,20003759014
Rob Wittman,Republican,House,VA,iShares MSCI USA Min Vol Factor ETF,USMV:US,15 Feb,4 Jan 2023,42,Undisclosed,SELL,1K–15K,72.57,20003759015
Rob Wittman,Republican,House,VA,METROPOLITAN WEST TOTAL RETURN BOND FD,MWTIX:US,15 Feb,17 Jan 2023,29,Undisclosed,BUY,15K–50K,9.32,20003759016
Rob Wittman,Republican,House,VA,Vanguard Total Bond Market ETF,BND:US,15 Feb,17 Jan 2023,29,Undisclosed,SELL,15K–50K,73.87,20003759017
Rob Wittman,Republican,House,VA,Vanguard Total International Bond ETF,BNDX:US,15 Feb,17 Jan 2023,29,Undisclosed,SELL,15K–50K,48.71,20003759018
Rob Wittman,Republican,House,VA,VIRTUS VONTOBEL FOREIGN OPPORTUNITIES FUND,JVIAX:US,15 Feb,4 Jan 2023,42,Undisclosed,SELL,15K–50K,23.38,20003759019
Kevin Hern,Republican,House,OK,Accenture PLC,ACN:US,15 Feb,31 Jan 2023,14,Joint,SELL,1K–15K,279.05,20003758962
