Rudy Yakym,Republican,House,IN,US TREASURY BILLS,N/A,30 Jan,23 Jan 2024,6,Undisclosed,BUY,15K–50K,N/A,20003770426
Thomas Kean Jr,Republican,House,NJ,Oracle Corp,ORCL:US,29 Jan,14 Dec 2023,43,Undisclosed,BUY,1K–15K,100.31,20003770419
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770420
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770421
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770422
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770423
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770424
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,29 Jan,16 Jan 2024,10,Spouse,BUY,500K–1M,N/A,20003770425
Markwayne Mullin,Republican,Senate,OK,JOHNSTON COUNTY NORTH CAROLINA,N/A,26 Jan,18 Jan 2024,8,Joint,SELL,50K–100K,N/A,10000062012
Markwayne Mullin,Republican,Senate,OK,CENTRAL WEBER SEWER IMPROVEMENT DISTRICT,N/A,26 Jan,18 Jan 2024,8,Joint,SELL,50K–100K,N/A,10000062013
Markwayne Mullin,Republican,Senate,OK,CITY OF AUSTIN TEXAS,N/A,26 Jan,18 Jan 2024,8,Joint,SELL,15K–50K,N/A,10000062014
Markwayne Mullin,Republican,Senate,OK,CITY OF KAUKAUNA,N/A,26 Jan,18 Jan 2024,8,Joint,SELL,50K–100K,N/A,10000062015
