Gary Peters,Democrat,Senate,MI,Warner Bros Discover Inc,WBD:US,10 Jan,12 Dec 2022,29,Self,SELL,1K–15K,11.27,10000060568
Susan Collins,Republican,Senate,ME,AKAMAI TECHNOLOGIES Inc,AKAM:US,10 Jan,20 Dec 2022,21,Spouse,SELL,15K–50K,84.5,10000060566
Susan Collins,Republican,Senate,ME,COUNTY OF YORK MAINE,N/A,10 Jan,13 Dec 2022,28,Spouse,BUY,50K–100K,N/A,10000060567
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,10 Jan,5 Dec 2022,35,Undisclosed,BUY,15K–50K,96.6,20003758447
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,10 Jan,12 Dec 2022,28,Undisclosed,SELL,1K–15K,N/A,20003758448
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,10 Jan,20 Dec 2022,20,Undisclosed,SELL,1K–15K,90.93,20003758449
Mark Green,Republican,House,TN,Energy Transfer LP,ET:US,10 Jan,29 Dec 2022,11,Undisclosed,SELL,15K–50K,11.86,20003758445
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,10 Jan,3 Jan 2023,6,Undisclosed,SELL,1K–15K,1.14,20003758446
Lois Frankel,Democrat,House,FL,Blackrock Inc,BLK:US,9 Jan,30 Nov 2022,37,Undisclosed,SELL,1K–15K,716.0,20003758434
Lois Frankel,Democrat,House,FL,Blackrock Inc,BLK:US,9 Jan,7 Dec 2022,30,Undisclosed,SELL,1K–15K,709.16,20003758435
Lois Frankel,Democrat,House,FL,CarGurus Inc,CARG:US,9 Jan,22 Nov 2022,45,Undisclosed,SELL,1K–15K,13.6,20003758436
Lois Frankel,Democrat,House,FL,Dominion Energy Inc,D:US,9 Jan,30 Nov 2022,37,Undisclosed,BUY,1K–15K,61.11,20003758437
