Ro Khanna,Democrat,House,CA,Crown Holdings Inc,CCK:US,8 Mar,13 Feb 2024,22,Child,SELL,1K–15K,73.53,20003771397
Ro Khanna,Democrat,House,CA,PepsiCo Inc,PEP:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,168.88,20003771398
Ro Khanna,Democrat,House,CA,Mastercard Inc,MA:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,460.46,20003771399
Ro Khanna,Democrat,House,CA,Cisco Systems Inc,CSCO:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,49.64,20003771400
Ro Khanna,Democrat,House,CA,Merck & Co Inc,MRK:US,8 Mar,23 Feb 2024,12,Spouse,BUY,15K–50K,129.45,20003771401
Ro Khanna,Democrat,House,CA,Bristol-Myers Squibb Co,BMY:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,48.71,20003771402
Ro Khanna,Democrat,House,CA,Penn National Gaming Inc,PENN:US,8 Mar,15 Feb 2024,20,Spouse,BUY,15K–50K,19.385,20003771403
Ro Khanna,Democrat,House,CA,Penn National Gaming Inc,PENN:US,8 Mar,2 Feb 2024,33,Spouse,BUY,15K–50K,21.63,20003771404
Ro Khanna,Democrat,House,CA,Nike Inc,NKE:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,105.0,20003771405
Ro Khanna,Democrat,House,CA,The Walt Disney Co,DIS:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,110.46,20003771406
Ro Khanna,Democrat,House,CA,SAP SE,SAP:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,173.98,20003771407
Ro Khanna,Democrat,House,CA,Alphabet Inc,GOOGL:US,8 Mar,13 Feb 2024,22,Spouse,BUY,15K–50K,145.14,20003771408
