Lois Frankel,Democrat,House,FL,Prologis Inc,PLD:US,21 Nov,2 Nov 2022,16,Undisclosed,BUY,1K–15K,106.74,20003756289
Fred Upton,Republican,House,MI,BAIRD FIRST TRUST,N/A,17 Nov,12 Oct 2022,28,Joint,SELL,100K–250K,N/A,20003755811
Michael McCaul,Republican,House,TX,BDT CAPITAL PARTNERS LLC,N/A,17 Nov,25 Oct 2022,20,Spouse,BUY,250K–500K,N/A,20003755812
Michael McCaul,Republican,House,TX,DALLAS INDEPENDENT SCHOOL DISTRICT DALLAS COUNTY TEXAS,N/A,17 Nov,7 Oct 2022,38,Spouse,BUY,100K–250K,N/A,20003755813
Michael McCaul,Republican,House,TX,CALIFORNIA STATE PUBLIC WORKS BOARD,N/A,17 Nov,18 Oct 2022,27,Spouse,BUY,100K–250K,N/A,20003755814
Michael McCaul,Republican,House,TX,PENNSYLVANIA HOUSING FINANCE AGENCY,N/A,17 Nov,11 Oct 2022,34,Spouse,BUY,100K–250K,N/A,20003755815
Michael McCaul,Republican,House,TX,TRIBOROUGH BRIDGE AND TUNNEL AUTHORITY,N/A,17 Nov,21 Oct 2022,24,Spouse,BUY,100K–250K,N/A,20003755816
Michael McCaul,Republican,House,TX,MASSACHUSETTS DEPARTMENT OF TRANSPORTATION,N/A,17 Nov,19 Oct 2022,26,Spouse,BUY,100K–250K,N/A,20003755817
Michael McCaul,Republican,House,TX,STATE OF CONNECTICUT,N/A,17 Nov,21 Oct 2022,24,Spouse,BUY,100K–250K,N/A,20003755818
Michael McCaul,Republican,House,TX,CITY OF CLEVELAND OHIO,N/A,17 Nov,21 Oct 2022,24,Spouse,BUY,100K–250K,N/A,20003755819
Michael McCaul,Republican,House,TX,COUNTY OF WILL ILLINOIS,N/A,17 Nov,19 Oct 2022,26,Spouse,BUY,100K–250K,N/A,20003755820
Michael McCaul,Republican,House,TX,STATE OF LOUISIANA,N/A,17 Nov,3 Oct 2022,42,Spouse,BUY,50K–100K,N/A,20003755821
