Zoe Lofgren,Democrat,House,CA,Credit Suisse Group,CS:US,11 Nov,6 Oct 2022,35,Spouse,SELL,1K–15K,N/A,20003755696
Josh Gottheimer,Democrat,House,NJ,Airbnb Inc,ABNB:US,11 Nov,19 Oct 2022,22,Joint,BUY,1K–15K,116.87,20003755666
Josh Gottheimer,Democrat,House,NJ,Allianz SE,ALIZY:US,11 Nov,17 Oct 2022,24,Joint,BUY,1K–15K,16.714,20003755667
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,11 Nov,27 Oct 2022,14,Joint,SELL,1K–15K,92.6,20003755668
Josh Gottheimer,Democrat,House,NJ,Amgen Inc,AMGN:US,11 Nov,19 Oct 2022,22,Joint,BUY,1K–15K,248.19,20003755669
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,11 Nov,25 Oct 2022,16,Joint,SELL,1K–15K,152.34,20003755670
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,11 Nov,19 Oct 2022,22,Joint,BUY,1K–15K,143.86,20003755671
Josh Gottheimer,Democrat,House,NJ,BHP Group Ltd,BHP:US,11 Nov,17 Oct 2022,24,Joint,BUY,1K–15K,49.81,20003755672
Josh Gottheimer,Democrat,House,NJ,Blackstone Group Inc,BX:US,11 Nov,21 Oct 2022,20,Joint,SELL,1K–15K,85.43,20003755673
Josh Gottheimer,Democrat,House,NJ,Schwab (Charles) Corp,SCHW:US,11 Nov,18 Oct 2022,23,Joint,SELL,1K–15K,68.61,20003755674
Josh Gottheimer,Democrat,House,NJ,ChemoCentryx Inc,CCXI:US,11 Nov,20 Oct 2022,21,Joint,SELL,1K–15K,51.99,20003755675
Josh Gottheimer,Democrat,House,NJ,Cheniere Energy Inc,LNG:US,11 Nov,13 Oct 2022,28,Joint,BUY,1K–15K,178.17,20003755676
