Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,10 Nov,20 Oct 2022,21,Spouse,BUY,1K–15K,25.33,20003755661
John Curtis,Republican,House,UT,Abbott Laboratories,ABT:US,10 Nov,21 Oct 2022,19,Joint,SELL,1K–15K,95.06,20003755651
John Curtis,Republican,House,UT,Adobe Inc,ADBE:US,10 Nov,21 Oct 2022,19,Joint,BUY,1K–15K,306.37,20003755652
John Curtis,Republican,House,UT,Chipotle Mexican Grill Inc,CMG:US,10 Nov,21 Oct 2022,19,Joint,BUY,1K–15K,"1,549.82",20003755653
John Curtis,Republican,House,UT,CITY OF COLUMBUS OHIO,N/A,10 Nov,28 Oct 2022,12,Joint,BUY,1K–15K,N/A,20003755654
John Curtis,Republican,House,UT,T-Mobile US Inc,TMUS:US,10 Nov,21 Oct 2022,19,Joint,SELL,1K–15K,136.46,20003755655
John Curtis,Republican,House,UT,Waste Management Inc,WM:US,10 Nov,21 Oct 2022,19,Joint,SELL,1K–15K,159.83,20003755656
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Nov,3 Oct 2022,36,Undisclosed,SELL,1K–15K,N/A,20003755640
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Nov,13 Oct 2022,26,Undisclosed,SELL,1K–15K,N/A,20003755641
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Nov,21 Oct 2022,18,Undisclosed,SELL,100K–250K,119.95,20003755642
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Nov,27 Oct 2022,12,Undisclosed,BUY,100K–250K,112.06,20003755643
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Nov,28 Oct 2022,11,Undisclosed,BUY,1K–15K,115.21,20003755644
