Kathy Manning,Democrat,House,NC,Tesla Inc,TSLA:US,12 Oct,12 Sept 2022,29,Spouse,SELL,1K–15K,304.42,20003754032
Zoe Lofgren,Democrat,House,CA,AEP TEXAS INC,N/A,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,N/A,20003754010
Zoe Lofgren,Democrat,House,CA,Anheuser-Busch InBev SA/NV,BUD:US,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,49.9,20003754011
Zoe Lofgren,Democrat,House,CA,Bank of America Corp,BAC:US,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,34.94,20003754012
Zoe Lofgren,Democrat,House,CA,Becton Dickinson and Co,BDX:US,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,262.85,20003754013
Zoe Lofgren,Democrat,House,CA,Gilead Sciences Inc,GILD:US,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,65.28,20003754014
Zoe Lofgren,Democrat,House,CA,Quanta Services Inc,PWR:US,12 Oct,9 Sept 2022,32,Spouse,BUY,1K–15K,146.76,20003754015
Ro Khanna,Democrat,House,CA,PepsiCo Inc,PEP:US,12 Oct,15 Sept 2022,22,Child,BUY,1K–15K,165.88,20003754555
Ro Khanna,Democrat,House,CA,Amazon.com Inc,AMZN:US,12 Oct,15 Sept 2022,22,Child,BUY,1K–15K,126.28,20003754556
Ro Khanna,Democrat,House,CA,Texas Instruments Inc,TXN:US,12 Oct,15 Sept 2022,22,Child,BUY,1K–15K,162.67,20003754557
Ro Khanna,Democrat,House,CA,Weyerhaeuser Co,WY:US,12 Oct,15 Sept 2022,22,Child,BUY,1K–15K,31.33,20003754558
Ro Khanna,Democrat,House,CA,SVB Financial Group,SIVBQ:US,12 Oct,15 Sept 2022,22,Child,BUY,1K–15K,379.03,20003754559
