Ro Khanna,Democrat,House,CA,Monolithic Power Systems Inc,MPWR:US,12 Oct,29 Sept 2022,8,Child,SELL,1K–15K,365.4,20003754887
Ro Khanna,Democrat,House,CA,Meta Platforms Inc,META:US,12 Oct,8 Sept 2022,29,Spouse,BUY,50K–100K,162.06,20003754888
Ro Khanna,Democrat,House,CA,Berkshire Hathaway Inc,BRK/B:US,12 Oct,8 Sept 2022,29,Spouse,BUY,50K–100K,283.34,20003754889
Ro Khanna,Democrat,House,CA,The Procter & Gamble Co,PG:US,12 Oct,29 Sept 2022,8,Spouse,BUY,50K–100K,128.7,20003754890
Ro Khanna,Democrat,House,CA,AT&T Inc,T:US,12 Oct,8 Sept 2022,29,Spouse,BUY,50K–100K,16.77,20003754891
Ro Khanna,Democrat,House,CA,Visa Inc,V:US,12 Oct,29 Sept 2022,8,Spouse,BUY,50K–100K,180.06,20003754892
Ro Khanna,Democrat,House,CA,Walmart Inc,WMT:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,132.25,20003754893
Ro Khanna,Democrat,House,CA,PepsiCo Inc,PEP:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,166.61,20003754894
Ro Khanna,Democrat,House,CA,Norfolk Southern Corp,NSC:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,214.55,20003754895
Ro Khanna,Democrat,House,CA,Microsoft Corp,MSFT:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,237.5,20003754896
Ro Khanna,Democrat,House,CA,The Walt Disney Co,DIS:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,97.45,20003754897
Ro Khanna,Democrat,House,CA,Mondelez International Inc,MDLZ:US,12 Oct,29 Sept 2022,8,Spouse,BUY,15K–50K,56.67,20003754898
