Rick Allen,Republican,House,GA,US TREASURY BILLS,N/A,20 Dec,16 Nov 2023,33,Spouse,BUY,15K–50K,N/A,20003770135
Mark Warner,Democrat,Senate,VA,COUNTY OF (MARYLAND) ANNE ARUNDEL,N/A,19 Dec,30 Nov 2023,19,Self,BUY,100K–250K,N/A,10000061827
Mark Warner,Democrat,Senate,VA,COUNTY OF (MARYLAND) ANNE ARUNDEL,N/A,19 Dec,30 Nov 2023,19,Self,BUY,250K–500K,N/A,10000061828
Mark Warner,Democrat,Senate,VA,STATE OF WASHINGTON,N/A,19 Dec,29 Nov 2023,20,Self,BUY,250K–500K,N/A,10000061829
Mark Warner,Democrat,Senate,VA,CITY OF WILLIAMSBURG VIRGINIA,N/A,19 Dec,29 Nov 2023,20,Self,BUY,500K–1M,N/A,10000061830
Mark Warner,Democrat,Senate,VA,COUNTY OF SPOTSYLVANIA VIRGINIA,N/A,19 Dec,28 Nov 2023,21,Self,BUY,500K–1M,N/A,10000061831
Mark Warner,Democrat,Senate,VA,CITY OF PETERSBURG VIRGINIA,N/A,19 Dec,28 Nov 2023,21,Self,BUY,500K–1M,N/A,10000061832
Mark Warner,Democrat,Senate,VA,FAIRFAX COUNTY OF VIRGINIA,N/A,19 Dec,27 Nov 2023,22,Self,BUY,250K–500K,N/A,10000061833
Mark Warner,Democrat,Senate,VA,COUNTY OF ROANOKE VIRGINIA,N/A,19 Dec,27 Nov 2023,22,Self,BUY,250K–500K,N/A,10000061834
Mark Warner,Democrat,Senate,VA,VIRGINIA STATE PUBLIC SCHOOL AUTHORITY,N/A,19 Dec,22 Nov 2023,27,Self,BUY,100K–250K,N/A,10000061835
Mark Warner,Democrat,Senate,VA,THE UNIVERSITY OF VIRGINIA,N/A,19 Dec,22 Nov 2023,27,Self,BUY,100K–250K,N/A,10000061836
Mark Warner,Democrat,Senate,VA,FAIRFAX COUNTY OF VIRGINIA,N/A,19 Dec,21 Nov 2023,28,Self,BUY,100K–250K,N/A,10000061837
