Kathy Manning,Democrat,House,NC,WHALE ROCK LONG OPPORTUNITIES FUND LP,N/A,12 Sept,1 Sept 2022,10,Spouse,BUY,250K–500K,N/A,20003753284
Kurt Schrader,Democrat,House,OR,Motorola Solutions Inc,MSI:US,9 Sept,1 Aug 2022,38,Undisclosed,BUY,1K–15K,236.63,20003752512
Kurt Schrader,Democrat,House,OR,Motorola Solutions Inc,MSI:US,9 Sept,9 Aug 2022,30,Undisclosed,BUY,1K–15K,249.25,20003752513
Kurt Schrader,Democrat,House,OR,Take-Two Interactive Software Inc,TTWO:US,9 Sept,11 Aug 2022,28,Undisclosed,BUY,1K–15K,120.67,20003752514
Kurt Schrader,Democrat,House,OR,Anta Sports Products,2020:HK,9 Sept,24 Aug 2022,15,Undisclosed,BUY,1K–15K,312.19,20003752515
Kurt Schrader,Democrat,House,OR,Charter Communications Inc,CHTR:US,9 Sept,1 Aug 2022,38,Undisclosed,SELL,1K–15K,426.56,20003752516
Kurt Schrader,Democrat,House,OR,Cintas Corp,CTAS:US,9 Sept,9 Aug 2022,30,Undisclosed,SELL,1K–15K,424.73,20003752517
Kurt Schrader,Democrat,House,OR,iShares China Large-Cap ETF,FXI:US,9 Sept,23 Aug 2022,16,Undisclosed,SELL,1K–15K,29.35,20003752518
Nancy Pelosi,Democrat,House,CA,REOF XX LLC,N/A,9 Sept,24 Aug 2022,16,Spouse,BUY,15K–50K,N/A,20003752511
Jim Langevin,Democrat,House,RI,Airbnb Inc,ABNB:US,9 Sept,10 Aug 2022,29,Undisclosed,SELL,1K–15K,N/A,20003752492
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,9 Sept,10 Aug 2022,29,Undisclosed,SELL,1K–15K,N/A,20003752493
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,9 Sept,1 Aug 2022,38,Undisclosed,SELL,1K–15K,N/A,20003752494
