Virginia Foxx,Republican,House,NC,KNOT Offshore Partners LP,KNOP:US,9 Sept,2 Aug 2022,37,Joint,SELL,50K–100K,17.32,20003752465
Virginia Foxx,Republican,House,NC,The Mosaic Company,MOS:US,9 Sept,1 Aug 2022,38,Joint,BUY,1K–15K,51.39,20003752466
Virginia Foxx,Republican,House,NC,The Mosaic Company,MOS:US,9 Sept,4 Aug 2022,35,Joint,BUY,1K–15K,51.71,20003752467
Virginia Foxx,Republican,House,NC,The Mosaic Company,MOS:US,9 Sept,5 Aug 2022,34,Joint,BUY,15K–50K,52.22,20003752468
Virginia Foxx,Republican,House,NC,National Fuel Gas Co,NFG:US,9 Sept,2 Aug 2022,37,Joint,BUY,15K–50K,70.59,20003752469
Virginia Foxx,Republican,House,NC,National Fuel Gas Co,NFG:US,9 Sept,3 Aug 2022,36,Joint,BUY,1K–15K,70.94,20003752470
Virginia Foxx,Republican,House,NC,National Fuel Gas Co,NFG:US,9 Sept,8 Aug 2022,31,Joint,BUY,1K–15K,70.06,20003752471
Virginia Foxx,Republican,House,NC,NEWTEKONE INC,NEWT:US,9 Sept,30 Aug 2021,374,Joint,BUY,1K–15K,28.46,20003752472
Virginia Foxx,Republican,House,NC,San Juan Basin Royalty Trust,SJT:US,9 Sept,25 Aug 2022,14,Joint,BUY,1K–15K,14.14,20003752473
Virginia Foxx,Republican,House,NC,San Juan Basin Royalty Trust,SJT:US,9 Sept,11 Aug 2022,28,Joint,BUY,1K–15K,13.41,20003752474
Virginia Foxx,Republican,House,NC,San Juan Basin Royalty Trust,SJT:US,9 Sept,19 Aug 2022,20,Joint,BUY,1K–15K,14.29,20003752475
Virginia Foxx,Republican,House,NC,San Juan Basin Royalty Trust,SJT:US,9 Sept,23 Aug 2022,16,Joint,BUY,1K–15K,14.3,20003752476
