Ann Wagner,Republican,House,MO,PUTNAM COUNTY TENNESSEE,N/A,26 Aug,13 Jul 2022,41,Joint,BUY,250K–500K,N/A,20003752147
Debbie Wasserman Schultz,Democrat,House,FL,Hill International Inc,HIL:US,25 Aug,17 Aug 2022,7,Child,SELL,1K–15K,2.79,20003752140
Debbie Wasserman Schultz,Democrat,House,FL,Hill International Inc,HIL:US,25 Aug,17 Aug 2022,7,Child,SELL,1K–15K,2.79,20003752141
Debbie Wasserman Schultz,Democrat,House,FL,Hill International Inc,HIL:US,25 Aug,17 Aug 2022,7,Undisclosed,SELL,1K–15K,2.79,20003752142
Debbie Wasserman Schultz,Democrat,House,FL,The Select Sector SPDR Trust - The Energy Select Sector SPDR Fund,XLE:US,25 Aug,19 Aug 2022,5,Child,SELL,1K–15K,79.46,20003752143
Debbie Wasserman Schultz,Democrat,House,FL,The Select Sector SPDR Trust - The Energy Select Sector SPDR Fund,XLE:US,25 Aug,19 Aug 2022,5,Undisclosed,SELL,1K–15K,79.46,20003752144
Debbie Wasserman Schultz,Democrat,House,FL,The Select Sector SPDR Trust - The Energy Select Sector SPDR Fund,XLE:US,25 Aug,19 Aug 2022,5,Child,SELL,1K–15K,79.46,20003752145
Mike Garcia,Republican,House,CA,AMC ENTERTAINMENT HOLDINGS,AMC:US,24 Aug,12 Aug 2022,11,Undisclosed,SELL,1K–15K,24.44,20003752139
Mike Garcia,Republican,House,CA,Textron Inc,TXT:US,24 Aug,12 Jul 2022,42,Undisclosed,SELL,50K–100K,60.89,20003752138
Steve Cohen,Democrat,House,TN,Bank OZK,OZK:US,24 Aug,18 Aug 2022,5,Undisclosed,BUY,15K–50K,19.41,20003752135
Dwight Evans,Democrat,House,PA,AbbVie Inc,ABBV:US,22 Aug,5 Aug 2022,14,Undisclosed,BUY,1K–15K,138.04,20003752131
Dwight Evans,Democrat,House,PA,ONEOK Inc,OKE:US,22 Aug,5 Aug 2022,14,Undisclosed,BUY,1K–15K,58.55,20003752132
