John Curtis,Republican,House,UT,Zoetis Inc,ZTS:US,18 Dec,4 Dec 2023,11,Joint,SELL,1K–15K,182.12,20003769922
Katie Britt,Republican,Senate,AL,68V 181/FAIRHOPE AVE 2023 LLC,N/A,15 Dec,14 Dec 2023,1,Spouse,BUY,15K–50K,N/A,10000061817
Richard Blumenthal,Democrat,Senate,CT,TACOMBI HOLDING NA LLC,N/A,15 Dec,17 Nov 2023,28,Spouse,BUY,100K–250K,N/A,10000061818
Richard Blumenthal,Democrat,Senate,CT,FOXTROT VENTURES INC,N/A,15 Dec,15 Nov 2023,30,Spouse,BUY,50K–100K,N/A,10000061819
Richard Blumenthal,Democrat,Senate,CT,iHeartMedia Inc,IHRT:US,15 Dec,14 Nov 2023,31,Spouse,SELL,50K–100K,2.1,10000061820
Richard Blumenthal,Democrat,Senate,CT,iHeartMedia Inc,IHRT:US,15 Dec,13 Nov 2023,32,Spouse,SELL,50K–100K,1.82,10000061821
Richard Blumenthal,Democrat,Senate,CT,iHeartMedia Inc,IHRT:US,15 Dec,10 Nov 2023,35,Spouse,SELL,50K–100K,2.01,10000061822
Richard Blumenthal,Democrat,Senate,CT,RADCLIFF BR I (FEEDER) LLC,N/A,15 Dec,28 Nov 2023,17,Spouse,BUY,15K–50K,N/A,10000061823
Tommy Tuberville,Republican,Senate,AL,Mondelez International Inc,MDLZ:US,15 Dec,22 Nov 2023,23,Joint,BUY,1K–15K,N/A,10000061804
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,15 Dec,21 Nov 2023,24,Joint,SELL,1K–15K,N/A,10000061805
Tommy Tuberville,Republican,Senate,AL,KeyCorp,KEY:US,15 Dec,21 Nov 2023,24,Joint,BUY,15K–50K,12.01,10000061806
Tommy Tuberville,Republican,Senate,AL,FIRST GUARANTY BANCSHARES,FGBI:US,15 Dec,21 Nov 2023,24,Joint,SELL,15K–50K,9.51,10000061807
