Mo Brooks,Republican,House,AL,Duke Energy Corp,DUK:US,13 Jun,3 Jun 2022,9,Joint,BUY,1K–15K,N/A,20003739588
Roy Blunt,Republican,Senate,MO,ARDAGH METAL PACKAGING S A,AMBP:US,12 Jun,6 Jun 2022,6,Spouse,BUY,50K–100K,6.79,10000059972
Roy Blunt,Republican,Senate,MO,Medtronic PLC,MDT:US,12 Jun,6 Jun 2022,6,Spouse,SELL,15K–50K,95.49,10000059973
Shelley Moore Capito,Republican,Senate,WV,WEC Energy Group Inc,WEC:US,12 Jun,25 May 2022,18,Spouse,SELL,1K–15K,105.81,10000059974
Shelley Moore Capito,Republican,Senate,WV,NextEra Energy Inc,NEE:US,12 Jun,26 May 2022,17,Spouse,SELL,1K–15K,75.04,10000059975
Jamie Raskin,Democrat,House,MD,I X NET ZERO PLC,N/A,10 Jun,9 Feb 2022,120,Spouse,RECEIVE,250K–500K,N/A,20003739586
Jamie Raskin,Democrat,House,MD,I(X) INVESTMENTS LLC,N/A,10 Jun,9 Feb 2022,120,Spouse,EXCHANGE,250K–500K,N/A,20003739587
David Joyce,Republican,House,OH,Vanguard Scottsdale Funds Vanguard Short-Term Corporate Bond ETF,VCSH:US,10 Jun,17 May 2022,23,Undisclosed,SELL,1K–15K,76.78,20003739583
David Joyce,Republican,House,OH,Global X US Infrastructure Development ETF,PAVE:US,10 Jun,19 May 2022,21,Undisclosed,SELL,1K–15K,24.67,20003739581
David Joyce,Republican,House,OH,Invesco Aerospace & Defense ETF,PPA:US,10 Jun,19 May 2022,21,Undisclosed,BUY,1K–15K,69.25,20003739582
Lois Frankel,Democrat,House,FL,Alleghany Corp,Y:US,10 Jun,2 May 2022,38,Undisclosed,SELL,1K–15K,837.49,20003739566
Lois Frankel,Democrat,House,FL,Alleghany Corp,Y:US,10 Jun,29 Apr 2022,41,Undisclosed,SELL,1K–15K,836.5,20003739567
