Lois Frankel,Democrat,House,FL,Vontier Corp,VNT:US,10 Jun,25 Apr 2022,45,Undisclosed,BUY,1K–15K,26.46,20003739580
John Boozman,Republican,Senate,AR,Vanguard Real Estate ETF,VNQ:US,8 Jun,2 May 2022,37,Undisclosed,SELL,1K–15K,101.43,10000059970
John Boozman,Republican,Senate,AR,Vanguard Global ex-U.S. Real Estate ETF,VNQI:US,8 Jun,2 May 2022,37,Undisclosed,BUY,1K–15K,47.93,10000059971
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,9 May 2022,29,Spouse,SELL,15K–50K,1.628,10000059960
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,10 May 2022,28,Spouse,SELL,15K–50K,1.62,10000059961
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,11 May 2022,27,Spouse,SELL,15K–50K,1.659,10000059962
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,12 May 2022,26,Spouse,SELL,1K–15K,1.703,10000059963
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,9 May 2022,29,Spouse,SELL,1K–15K,1.628,10000059964
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,10 May 2022,28,Spouse,SELL,1K–15K,1.62,10000059965
Richard Blumenthal,Democrat,Senate,CT,BR PROPERTIES SA,BRPR3:BZ,8 Jun,11 May 2022,27,Spouse,SELL,1K–15K,1.659,10000059966
Richard Blumenthal,Democrat,Senate,CT,DECIBEL PARTNERS II LP,N/A,8 Jun,12 May 2022,26,Spouse,BUY,1K–15K,N/A,10000059967
Richard Blumenthal,Democrat,Senate,CT,Keurig Dr Pepper Inc,KDP:US,8 Jun,28 Apr 2022,40,Spouse,SELL,250K–500K,37.99,10000059968
