Lloyd Doggett,Democrat,House,TX,The Procter & Gamble Co,PG:US,7 Jun,16 May 2022,21,Undisclosed,BUY,1K–15K,155.12,20003724445
Rob Wittman,Republican,House,VA,Duke Realty Corp,DRE:US,6 Jun,10 May 2022,25,Joint,SELL,1K–15K,49.58,20003724419
Rob Wittman,Republican,House,VA,ISHARES CRRENCY HD MSCI EAFE,HEFA:US,6 Jun,10 May 2022,25,Undisclosed,BUY,1K–15K,32.32,20003724420
Rob Wittman,Republican,House,VA,ISHARES 0-5 YR HGH YLD CP BD,SHYG:US,6 Jun,10 May 2022,25,Undisclosed,BUY,1K–15K,42.21,20003724421
Rob Wittman,Republican,House,VA,iShares Core MSCI EAFE ETF,IEFA:US,6 Jun,10 May 2022,25,Undisclosed,SELL,1K–15K,61.86,20003724422
Rob Wittman,Republican,House,VA,iShares Core MSCI Europe ETF,IEUR:US,6 Jun,10 May 2022,25,Undisclosed,SELL,1K–15K,47.42,20003724423
Rob Wittman,Republican,House,VA,iShares Trust iShares MSCI EAFE Growth ETF,EFG:US,6 Jun,10 May 2022,25,Undisclosed,SELL,1K–15K,83.06,20003724424
Rob Wittman,Republican,House,VA,J.P. MORGAN BTBLR CANADA ETF,BBCA:US,6 Jun,10 May 2022,25,Undisclosed,BUY,1K–15K,61.26,20003724425
Rob Wittman,Republican,House,VA,JPMORGAN EQUITY PREMIUM INCOME ETF,JEPI:US,6 Jun,10 May 2022,25,Undisclosed,BUY,1K–15K,56.53,20003724426
Rob Wittman,Republican,House,VA,SPDR Blackstone/ GSO Senior Loan ETF,SRLN:US,6 Jun,10 May 2022,25,Undisclosed,BUY,1K–15K,43.46,20003724427
Rob Wittman,Republican,House,VA,Starbucks Corp,SBUX:US,6 Jun,10 May 2022,25,Undisclosed,SELL,1K–15K,71.86,20003724428
Rob Wittman,Republican,House,VA,Vanguard Total Bond Market ETF,BND:US,6 Jun,10 May 2022,25,Undisclosed,SELL,1K–15K,75.81,20003724429
