Nancy Pelosi,Democrat,House,CA,AT&T Inc,T:US,4 May,11 Apr 2022,22,Spouse,EXCHANGE,50K–100K,N/A,20003721120
Lois Frankel,Democrat,House,FL,Chubb Ltd,CB:US,4 May,13 Apr 2022,20,Undisclosed,SELL,1K–15K,212.84,20003721109
Lois Frankel,Democrat,House,FL,Citigroup Inc,C:US,4 May,30 Mar 2022,34,Undisclosed,SELL,1K–15K,54.97,20003721110
Lois Frankel,Democrat,House,FL,Citigroup Inc,C:US,4 May,23 Mar 2022,41,Undisclosed,SELL,1K–15K,56.35,20003721111
Lois Frankel,Democrat,House,FL,Fidelity National Information Services Inc,FIS:US,4 May,13 Apr 2022,20,Undisclosed,SELL,1K–15K,101.5,20003721112
Lois Frankel,Democrat,House,FL,Fidelity National Information Services Inc,FIS:US,4 May,6 Apr 2022,27,Undisclosed,SELL,1K–15K,101.56,20003721113
Lois Frankel,Democrat,House,FL,Johnson Controls International PLC,JCI:US,4 May,24 Mar 2022,40,Undisclosed,BUY,1K–15K,65.58,20003721114
Lois Frankel,Democrat,House,FL,Johnson Controls International PLC,JCI:US,4 May,23 Mar 2022,41,Undisclosed,BUY,1K–15K,64.76,20003721115
Lois Frankel,Democrat,House,FL,NXP Semiconductors NV,NXPI:US,4 May,6 Apr 2022,27,Undisclosed,BUY,1K–15K,174.02,20003721116
Lois Frankel,Democrat,House,FL,Pioneer Natural Resources Co,PXD:US,4 May,30 Mar 2022,34,Undisclosed,BUY,1K–15K,257.93,20003721117
Lois Frankel,Democrat,House,FL,The Sherwin-Williams Co,SHW:US,4 May,13 Apr 2022,20,Undisclosed,BUY,1K–15K,258.4,20003721118
Richard Blumenthal,Democrat,Senate,CT,SH FUND LP,N/A,3 May,14 Mar 2022,43,Spouse,BUY,15K–50K,N/A,10000059879
