Suzan DelBene,Democrat,House,WA,STATE OF MARYLAND,N/A,21 Apr,11 Apr 2022,9,Joint,BUY,1K–15K,N/A,20003720832
Tina Smith,Democrat,Senate,MN,NORTHERN LAKES CAPITAL FUND IV LP,N/A,20 Apr,4 Apr 2022,16,Spouse,BUY,15K–50K,N/A,10000059744
John Rutherford,Republican,House,FL,3I GROUP PLC,III:LN,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,8.95,20003720749
John Rutherford,Republican,House,FL,Volvo AB,VOLVY:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,N/A,20003720750
John Rutherford,Republican,House,FL,AbbVie Inc,ABBV:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,156.05,20003720751
John Rutherford,Republican,House,FL,Altria Group Inc,MO:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,51.28,20003720752
John Rutherford,Republican,House,FL,Arthur J. Gallagher & Co,AJG:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,162.67,20003720753
John Rutherford,Republican,House,FL,Ase Technology Holdings Co,ASX:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,7.35,20003720754
John Rutherford,Republican,House,FL,BCE Inc,BCE:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,53.63,20003720755
John Rutherford,Republican,House,FL,Blackrock Inc,BLK:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,731.11,20003720756
John Rutherford,Republican,House,FL,BNP Paribas,BNPQY:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,29.875,20003720757
John Rutherford,Republican,House,FL,Bristol-Myers Squibb Co,BMY:US,20 Apr,16 Mar 2022,34,Undisclosed,SELL,1K–15K,69.66,20003720758
