Markwayne Mullin,Republican,Senate,OK,OKLAHOMA DEVELOPMENT FINANCE AUTHORITY,N/A,28 Nov,16 Nov 2023,12,Joint,BUY,15K–50K,N/A,10000061768
Angus King,Other,Senate,ME,STATE OF MAINE,N/A,28 Nov,23 Oct 2023,36,Spouse,BUY,15K–50K,N/A,10000061764
Suzan DelBene,Democrat,House,WA,ARIZONA INDUSTRIAL DEVELOPMENT AUTHORITY,N/A,27 Nov,3 Nov 2023,23,Joint,BUY,15K–50K,N/A,20003769539
Suzan DelBene,Democrat,House,WA,ARIZONA INDUSTRIAL DEVELOPMENT AUTHORITY,N/A,27 Nov,1 Nov 2023,25,Joint,BUY,15K–50K,N/A,20003769540
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769227
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769228
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,SELL,500K–1M,N/A,20003769229
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769230
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769231
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769232
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769233
Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769234
