Mark Green,Republican,House,TN,Equitrans Midstream Corp,ETRN:US,14 Apr,6 Apr 2022,7,Undisclosed,SELL,250K–500K,8.36,20003720169
Earl Blumenauer,Democrat,House,OR,Air Products and Chemicals Inc,APD:US,14 Apr,10 Mar 2022,34,Spouse,BUY,15K–50K,227.6,20003720170
Earl Blumenauer,Democrat,House,OR,The Goldman Sachs Group Inc,GS:US,14 Apr,10 Mar 2022,34,Spouse,BUY,15K–50K,N/A,20003720171
Earl Blumenauer,Democrat,House,OR,Toyota Motor Credit Corp,5672A:US,14 Apr,22 Mar 2022,22,Spouse,BUY,15K–50K,N/A,20003720172
Earl Blumenauer,Democrat,House,OR,US TREASURY NOTE,N/A,14 Apr,9 Mar 2022,35,Spouse,BUY,50K–100K,N/A,20003720173
Earl Blumenauer,Democrat,House,OR,US TREASURY NOTE,N/A,14 Apr,9 Mar 2022,35,Spouse,BUY,50K–100K,N/A,20003720174
Earl Blumenauer,Democrat,House,OR,US TREASURY NOTE,N/A,14 Apr,9 Mar 2022,35,Spouse,BUY,50K–100K,N/A,20003720175
John Boozman,Republican,Senate,AR,Apple Inc,AAPL:US,13 Apr,14 Mar 2022,24,Undisclosed,SELL,1K–15K,150.62,10000059733
John Boozman,Republican,Senate,AR,First Trust Europe AlphaDEX Fund,FEP:US,13 Apr,3 Mar 2022,35,Undisclosed,SELL,1K–15K,36.73,10000059734
John Boozman,Republican,Senate,AR,Goldman Sachs AccessTreasury 0-1 Year ETF,GBIL:US,13 Apr,25 Mar 2022,13,Undisclosed,SELL,15K–50K,99.93,10000059735
John Boozman,Republican,Senate,AR,Schwab US TIPS ETF,SCHP:US,13 Apr,25 Mar 2022,13,Undisclosed,SELL,1K–15K,60.95,10000059736
John Boozman,Republican,Senate,AR,Cisco Systems Inc,CSCO:US,13 Apr,14 Mar 2022,24,Undisclosed,BUY,1K–15K,54.3,10000059737
