Doris Matsui,Democrat,House,CA,US TREASURY NOTE,N/A,21 Nov,6 Nov 2023,14,Spouse,BUY,500K–1M,N/A,20003769235
Michael Guest,Republican,House,MS,Arista Networks Inc,ANET:US,21 Nov,1 Nov 2023,19,Spouse,BUY,1K–15K,210.84,20003769224
Michael Guest,Republican,House,MS,INTERNATIONAL SEAWAYS INC,INSW:US,21 Nov,27 Oct 2023,24,Spouse,BUY,1K–15K,49.22,20003769225
Michael Guest,Republican,House,MS,URANIUM ENERGY CORP,UEC:US,21 Nov,25 Oct 2023,26,Spouse,BUY,1K–15K,5.75,20003769226
Chuck Fleischmann,Republican,House,TN,SPDR GOLD MINISHARES TR,GLDM:US,21 Nov,20 Oct 2023,28,Joint,SELL,1K–15K,39.26,20003769236
Chuck Fleischmann,Republican,House,TN,Vanguard Scottsdale Funds Vanguard Short-Term Corporate Bond ETF,VCSH:US,21 Nov,20 Oct 2023,28,Joint,BUY,1K–15K,74.7,20003769237
Chuck Fleischmann,Republican,House,TN,SPDR S&P 400 Mid Cap Value ETF,MDYV:US,21 Nov,20 Oct 2023,28,Joint,SELL,1K–15K,61.6,20003769238
Chuck Fleischmann,Republican,House,TN,SPDR S&P 400 Mid Cap Growth ETF,MDYG:US,21 Nov,20 Oct 2023,28,Joint,SELL,1K–15K,66.62,20003769239
Chuck Fleischmann,Republican,House,TN,SPDR S&P 600 Small Cap Growth ETF,SLYG:US,21 Nov,20 Oct 2023,28,Joint,BUY,1K–15K,70.04,20003769240
Chuck Fleischmann,Republican,House,TN,SPDR Portfolio Developed World ex-US ETF,SPDW:US,21 Nov,20 Oct 2023,28,Joint,SELL,15K–50K,29.87,20003769241
Chuck Fleischmann,Republican,House,TN,PACER US SM CP CS CW 100 ETF,CALF:US,21 Nov,20 Oct 2023,28,Joint,BUY,1K–15K,39.84,20003769242
Chuck Fleischmann,Republican,House,TN,iShares 10-20 Year Treasury Bond ETF,TLH:US,21 Nov,20 Oct 2023,28,Joint,BUY,1K–15K,93.88,20003769243
