Suzan DelBene,Democrat,House,WA,FLORIDA HOMELOAN CORP,N/A,7 Apr,1 Apr 2022,6,Joint,SELL,1K–15K,N/A,20003720023
David Price,Democrat,House,NC,Yum China Holdings Inc,YUMC:US,6 Apr,17 Mar 2022,19,Undisclosed,SELL,1K–15K,43.33,20003720017
Lois Frankel,Democrat,House,FL,Accenture PLC,ACN:US,6 Apr,22 Feb 2022,43,Undisclosed,BUY,1K–15K,321.11,20003720003
Lois Frankel,Democrat,House,FL,Blackrock Inc,BLK:US,6 Apr,2 Mar 2022,35,Undisclosed,BUY,1K–15K,738.04,20003720004
Lois Frankel,Democrat,House,FL,IAA Inc,IAA:US,6 Apr,8 Mar 2022,29,Undisclosed,SELL,1K–15K,32.28,20003720005
Lois Frankel,Democrat,House,FL,Kimberly-Clark Corp,KMB:US,6 Apr,22 Feb 2022,43,Undisclosed,SELL,1K–15K,132.85,20003720006
Lois Frankel,Democrat,House,FL,Kimberly-Clark Corp,KMB:US,6 Apr,21 Feb 2022,44,Undisclosed,SELL,1K–15K,133.15,20003720007
Lois Frankel,Democrat,House,FL,Marriott International Inc,MAR:US,6 Apr,9 Mar 2022,28,Undisclosed,BUY,1K–15K,159.47,20003720008
Lois Frankel,Democrat,House,FL,McKesson Corp,MCK:US,6 Apr,2 Mar 2022,35,Undisclosed,SELL,1K–15K,273.8,20003720009
Lois Frankel,Democrat,House,FL,McKesson Corp,MCK:US,6 Apr,8 Mar 2022,29,Undisclosed,BUY,1K–15K,272.75,20003720010
Lois Frankel,Democrat,House,FL,Medtronic PLC,MDT:US,6 Apr,22 Feb 2022,43,Undisclosed,SELL,1K–15K,103.72,20003720011
Lois Frankel,Democrat,House,FL,Northrop Grumman Corp,NOC:US,6 Apr,9 Mar 2022,28,Undisclosed,SELL,1K–15K,449.92,20003720012
