Sheldon Whitehouse,Democrat,Senate,RI,Tesla Inc,TSLA:US,16 Mar,28 Jan 2022,47,Self,BUY,15K–50K,846.35,10000059603
Mike Kelly,Republican,House,PA,FAIRFAX COUNTY PUBLIC SCHOOLS,N/A,15 Mar,9 Feb 2022,29,Spouse,BUY,100K–250K,N/A,20003716940
Mitch McConnell,Republican,Senate,KY,Wells Fargo & Co,WFC:US,14 Mar,3 Mar 2022,11,Spouse,BUY,1K–15K,51.24,10000059551
Pete Sessions,Republican,House,TX,Medical Properties Trust Inc,MPW:US,14 Mar,22 Feb 2022,19,Spouse,BUY,1K–15K,20.42,20003716939
Tommy Tuberville,Republican,Senate,AL,Occidental Petroleum Corp,OXY:US,11 Mar,22 Feb 2022,17,Joint,SELL,50K–100K,38.32,10000059526
Tommy Tuberville,Republican,Senate,AL,ARK ETF Trust - ARK Innovation ETF,ARKK:US,11 Mar,17 Feb 2022,22,Joint,SELL,1K–15K,N/A,10000059527
Tommy Tuberville,Republican,Senate,AL,ARK ETF Trust - ARK Innovation ETF,ARKK:US,11 Mar,17 Feb 2022,22,Joint,SELL,1K–15K,N/A,10000059528
Tommy Tuberville,Republican,Senate,AL,United States Steel Corp,X:US,11 Mar,10 Feb 2022,29,Joint,SELL,1K–15K,N/A,10000059529
Tommy Tuberville,Republican,Senate,AL,United States Steel Corp,X:US,11 Mar,10 Feb 2022,29,Joint,SELL,1K–15K,N/A,10000059530
Tommy Tuberville,Republican,Senate,AL,United States Steel Corp,X:US,11 Mar,10 Feb 2022,29,Joint,SELL,1K–15K,N/A,10000059531
Tommy Tuberville,Republican,Senate,AL,United States Steel Corp,X:US,11 Mar,10 Feb 2022,29,Joint,BUY,100K–250K,24.23,10000059532
Tommy Tuberville,Republican,Senate,AL,PayPal Holdings Inc,PYPL:US,11 Mar,9 Feb 2022,30,Joint,SELL,1K–15K,N/A,10000059533
