Alan Lowenthal,Democrat,House,CA,ProShares Short QQQ,PSQ:US,7 Mar,24 Feb 2022,8,Joint,SELL,1K–15K,12.45,20003715040
Jim Langevin,Democrat,House,RI,Alibaba Group Holding Ltd,BABA:US,7 Mar,7 Feb 2022,25,Undisclosed,SELL,1K–15K,N/A,20003715016
Jim Langevin,Democrat,House,RI,Alibaba Group Holding Ltd,BABA:US,7 Mar,11 Feb 2022,21,Undisclosed,SELL,1K–15K,122.25,20003715017
Jim Langevin,Democrat,House,RI,Alibaba Group Holding Ltd,BABA:US,7 Mar,11 Feb 2022,21,Undisclosed,SELL,50K–100K,122.25,20003715018
Jim Langevin,Democrat,House,RI,Alphabet Inc,GOOGL:US,7 Mar,11 Feb 2022,21,Undisclosed,BUY,1K–15K,"2,685.65",20003715019
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,7 Mar,2 Feb 2022,30,Undisclosed,BUY,1K–15K,N/A,20003715020
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,7 Mar,2 Feb 2022,30,Undisclosed,BUY,50K–100K,114.04,20003715021
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,7 Mar,9 Feb 2022,23,Undisclosed,SELL,1K–15K,N/A,20003715022
Jim Langevin,Democrat,House,RI,Block Inc,SQ:US,7 Mar,25 Feb 2022,7,Undisclosed,SELL,1K–15K,N/A,20003715023
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,7 Mar,1 Feb 2022,31,Undisclosed,BUY,100K–250K,288.02,20003715024
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,7 Mar,25 Feb 2022,7,Undisclosed,SELL,1K–15K,N/A,20003715025
Jim Langevin,Democrat,House,RI,Generac Holdings Inc,GNRC:US,7 Mar,25 Feb 2022,7,Undisclosed,SELL,1K–15K,N/A,20003715026
