Tom Suozzi,Democrat,House,NY,General Electric Co,GE:US,4 Mar,1 Jun 2021,275,Undisclosed,BUY,15K–50K,14.15,20003714978
Greg Steube,Republican,House,FL,Synovus Financial Corp,SNV:US,4 Mar,9 Feb 2022,22,Spouse,BUY,1K–15K,52.67,20003714951
Greg Steube,Republican,House,FL,Synovus Financial Corp,SNV:US,4 Mar,8 Feb 2022,23,Spouse,BUY,1K–15K,53.08,20003714952
Greg Steube,Republican,House,FL,Synovus Financial Corp,SNV:US,4 Mar,23 Feb 2022,8,Spouse,BUY,1K–15K,50.97,20003714953
Kurt Schrader,Democrat,House,OR,SPDR S&P 500 ETF Trust,SPY:US,4 Mar,9 Feb 2022,21,Undisclosed,BUY,1K–15K,457.54,20003714987
Kurt Schrader,Democrat,House,OR,SPDR S&P 500 ETF Trust,SPY:US,4 Mar,15 Feb 2022,15,Undisclosed,BUY,1K–15K,446.1,20003714988
Kurt Schrader,Democrat,House,OR,NVIDIA Corporation,NVDA:US,4 Mar,22 Feb 2022,8,Undisclosed,BUY,1K–15K,233.9,20003714989
Kurt Schrader,Democrat,House,OR,Costco Wholesale Corp,COST:US,4 Mar,28 Feb 2022,2,Undisclosed,BUY,1K–15K,519.25,20003714990
Kurt Schrader,Democrat,House,OR,S&P Global Inc,SPGI:US,4 Mar,28 Feb 2022,2,Undisclosed,BUY,1K–15K,375.7,20003714991
Kurt Schrader,Democrat,House,OR,Prologis Inc,PLD:US,4 Mar,28 Feb 2022,2,Undisclosed,BUY,1K–15K,145.85,20003714992
Kurt Schrader,Democrat,House,OR,Meta Platforms Inc,META:US,4 Mar,9 Feb 2022,21,Undisclosed,SELL,1K–15K,232.0,20003714993
Kurt Schrader,Democrat,House,OR,Blackstone Group Inc,BX:US,4 Mar,22 Feb 2022,8,Undisclosed,SELL,1K–15K,121.62,20003714994
