Alan Lowenthal,Democrat,House,CA,S&P Global Inc,SPGI:US,21 Feb,9 Feb 2022,9,Spouse,BUY,1K–15K,407.29,20003713290
Chris Jacobs,Republican,House,NY,MASSACHUSETTS HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,N/A,21 Feb,31 Jan 2022,18,Undisclosed,SELL,50K–100K,N/A,20003713287
Chris Jacobs,Republican,House,NY,COUNTY OF MONROE,N/A,21 Feb,31 Jan 2022,18,Undisclosed,BUY,15K–50K,N/A,20003713288
Chris Jacobs,Republican,House,NY,UNIVERSITY OF MICHIGAN,N/A,21 Feb,31 Jan 2022,18,Undisclosed,SELL,50K–100K,N/A,20003713289
Josh Gottheimer,Democrat,House,NJ,AbbVie Inc,ABBV:US,21 Feb,28 Jan 2022,21,Joint,BUY,1K–15K,137.92,20003713252
Josh Gottheimer,Democrat,House,NJ,Advanced Micro Devices Inc,AMD:US,21 Feb,31 Jan 2022,18,Joint,SELL,1K–15K,114.25,20003713253
Josh Gottheimer,Democrat,House,NJ,Advanced Micro Devices Inc,AMD:US,21 Feb,26 Jan 2022,23,Joint,SELL,1K–15K,110.71,20003713254
Josh Gottheimer,Democrat,House,NJ,Align Technology Inc,ALGN:US,21 Feb,31 Jan 2022,18,Joint,SELL,1K–15K,494.96,20003713255
Josh Gottheimer,Democrat,House,NJ,ASML Holding NV,ASML:US,21 Feb,26 Jan 2022,23,Joint,SELL,1K–15K,653.26,20003713256
Josh Gottheimer,Democrat,House,NJ,Biogen Inc,BIIB:US,21 Feb,10 Jan 2022,39,Joint,BUY,1K–15K,235.31,20003713257
Josh Gottheimer,Democrat,House,NJ,Boot Barn Holdings Inc,BOOT:US,21 Feb,31 Jan 2022,18,Joint,SELL,1K–15K,91.97,20003713258
Josh Gottheimer,Democrat,House,NJ,Capital One Financial Corp,COF:US,21 Feb,10 Jan 2022,39,Joint,BUY,1K–15K,157.15,20003713259
