Dan Meuser,Republican,House,PA,NVIDIA Corporation,NVDA:US,17 Feb,21 Jan 2022,26,Child,SELL,1K–15K,233.74,20003713247
Susan Collins,Republican,Senate,ME,Unilever PLC,UL:US,17 Feb,21 Jan 2022,27,Spouse,SELL,15K–50K,49.31,10000059475
Susan Collins,Republican,Senate,ME,WEX Inc,WEX:US,17 Feb,6 Jan 2022,42,Spouse,SELL,15K–50K,151.54,10000059476
Susan Collins,Republican,Senate,ME,V.F. Corp,VFC:US,17 Feb,6 Jan 2022,42,Spouse,SELL,1K–15K,71.86,10000059477
Susan Collins,Republican,Senate,ME,Otis Worldwide Corp,OTIS:US,17 Feb,6 Jan 2022,42,Spouse,SELL,1K–15K,84.71,10000059478
Susan Collins,Republican,Senate,ME,HENRY SCHEIN Inc,HSIC:US,17 Feb,6 Jan 2022,42,Spouse,SELL,15K–50K,77.86,10000059479
Susan Collins,Republican,Senate,ME,Carrier Global Corp,CARR:US,17 Feb,6 Jan 2022,42,Spouse,SELL,1K–15K,53.5,10000059480
Susan Collins,Republican,Senate,ME,3M Co,MMM:US,17 Feb,6 Jan 2022,42,Spouse,SELL,15K–50K,178.0,10000059481
Susan Collins,Republican,Senate,ME,The Hershey Co,HSY:US,17 Feb,21 Jan 2022,27,Spouse,BUY,15K–50K,200.35,10000059482
Susan Collins,Republican,Senate,ME,NVIDIA Corporation,NVDA:US,17 Feb,6 Jan 2022,42,Spouse,BUY,15K–50K,281.78,10000059483
Susan Collins,Republican,Senate,ME,Linde PLC,LIN:US,17 Feb,6 Jan 2022,42,Spouse,BUY,15K–50K,338.01,10000059484
Susan Collins,Republican,Senate,ME,Amazon.com Inc,AMZN:US,17 Feb,6 Jan 2022,42,Spouse,BUY,15K–50K,"3,265.08",10000059485
