Scott Peters,Democrat,House,CA,GV PINES APARTMENTS LLC,N/A,16 Feb,31 Jan 2022,15,Spouse,BUY,100K–250K,N/A,20003713243
Lois Frankel,Democrat,House,FL,BWX Technologies Inc,BWXT:US,16 Feb,10 Jan 2022,37,Undisclosed,SELL,1K–15K,48.3,20003713227
Lois Frankel,Democrat,House,FL,Diamondback Energy Inc,FANG:US,16 Feb,10 Jan 2022,37,Undisclosed,BUY,1K–15K,121.35,20003713228
Lois Frankel,Democrat,House,FL,Diamondback Energy Inc,FANG:US,16 Feb,11 Jan 2022,36,Undisclosed,BUY,1K–15K,124.36,20003713229
Lois Frankel,Democrat,House,FL,Donaldson Co Inc,DCI:US,16 Feb,11 Jan 2022,36,Undisclosed,SELL,1K–15K,58.4,20003713230
Lois Frankel,Democrat,House,FL,Expeditors International of Washington Inc,EXPD:US,16 Feb,10 Jan 2022,37,Undisclosed,SELL,1K–15K,124.77,20003713231
Lois Frankel,Democrat,House,FL,Gartner Inc,IT:US,16 Feb,10 Jan 2022,37,Undisclosed,SELL,1K–15K,293.69,20003713232
Lois Frankel,Democrat,House,FL,Hess Corp,HES:US,16 Feb,10 Jan 2022,37,Undisclosed,BUY,1K–15K,85.15,20003713233
Lois Frankel,Democrat,House,FL,Hess Corp,HES:US,16 Feb,11 Jan 2022,36,Undisclosed,BUY,1K–15K,90.04,20003713234
Lois Frankel,Democrat,House,FL,KKR & Co Inc,KKR:US,16 Feb,13 Jan 2022,34,Undisclosed,BUY,1K–15K,69.86,20003713235
Lois Frankel,Democrat,House,FL,KKR & Co Inc,KKR:US,16 Feb,12 Jan 2022,35,Undisclosed,BUY,1K–15K,72.14,20003713236
Lois Frankel,Democrat,House,FL,Lockheed Martin Corp,LMT:US,16 Feb,12 Jan 2022,35,Undisclosed,SELL,1K–15K,361.3,20003713237
