Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,12 Jan,1 Dec 2021,42,Self,BUY,1K–15K,N/A,10000059251
Lori Trahan,Democrat,House,MA,General Electric Co,GE:US,12 Jan,27 Dec 2021,15,Spouse,SELL,1K–15K,94.62,20003710108
Tom Suozzi,Democrat,House,NY,Splunk Inc,SPLK:US,12 Jan,28 Dec 2021,14,Undisclosed,SELL,15K–50K,112.68,20003710106
Tom Suozzi,Democrat,House,NY,Spotify Technology S.A,SPOT:US,12 Jan,28 Dec 2021,14,Undisclosed,SELL,50K–100K,233.78,20003710107
Kevin Hern,Republican,House,OK,Asensus Surgical Inc,ASXC:US,12 Jan,20 Dec 2021,22,Joint,SELL,15K–50K,1.13,20003710087
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,12 Jan,30 Dec 2021,12,Joint,BUY,15K–50K,43.67,20003710088
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,12 Jan,30 Dec 2021,12,Joint,BUY,1K–15K,43.67,20003710089
Kevin Hern,Republican,House,OK,Emerson Electric Co,EMR:US,12 Jan,10 Dec 2021,32,Joint,BUY,1K–15K,92.59,20003710090
Kevin Hern,Republican,House,OK,Exxon Mobil Corp,XOM:US,12 Jan,10 Dec 2021,32,Joint,BUY,1K–15K,63.01,20003710091
Kevin Hern,Republican,House,OK,The Home Depot Inc,HD:US,12 Jan,16 Dec 2021,26,Joint,BUY,1K–15K,399.53,20003710092
Kevin Hern,Republican,House,OK,Honeywell International Inc,HON:US,12 Jan,3 Dec 2021,39,Joint,BUY,1K–15K,203.5,20003710093
Kevin Hern,Republican,House,OK,Johnson & Johnson,JNJ:US,12 Jan,7 Dec 2021,35,Joint,BUY,1K–15K,163.36,20003710094
