Carol Miller,Republican,House,WV,iShares MSCI Emerging Markets ex China ETF,EMXC:US,10 Nov,6 Oct 2023,34,Undisclosed,BUY,50K–100K,49.68,20003768477
David Kustoff,Republican,House,TN,CLEAR SECURE INC,YOU:US,10 Nov,6 Nov 2023,2,Undisclosed,SELL,1K–15K,17.4,20003768478
Ro Khanna,Democrat,House,CA,The Home Depot Inc,HD:US,10 Nov,12 Oct 2023,27,Child,SELL,1K–15K,293.02,20003768537
Ro Khanna,Democrat,House,CA,Arthur J. Gallagher & Co,AJG:US,10 Nov,16 Oct 2023,23,Child,BUY,1K–15K,236.59,20003768538
Ro Khanna,Democrat,House,CA,VERISK ANALYTICS Inc,VRSK:US,10 Nov,17 Oct 2023,22,Child,SELL,1K–15K,239.91,20003768539
Ro Khanna,Democrat,House,CA,VERALTO CORP,VLTO:US,10 Nov,17 Oct 2023,22,Child,BUY,1K–15K,74.48,20003768540
Ro Khanna,Democrat,House,CA,Cadence Design Systems Inc,CDNS:US,10 Nov,17 Oct 2023,22,Child,SELL,1K–15K,250.02,20003768541
Ro Khanna,Democrat,House,CA,Ross Stores Inc,ROST:US,10 Nov,6 Oct 2023,33,Child,BUY,15K–50K,112.38,20003768542
Ro Khanna,Democrat,House,CA,CarMax Inc,KMX:US,10 Nov,20 Oct 2023,19,Child,BUY,1K–15K,62.84,20003768543
Ro Khanna,Democrat,House,CA,CVS Health Corp,CVS:US,10 Nov,6 Oct 2023,33,Child,BUY,1K–15K,69.9,20003768544
Ro Khanna,Democrat,House,CA,Accenture PLC,ACN:US,10 Nov,6 Oct 2023,33,Child,BUY,1K–15K,312.19,20003768545
Ro Khanna,Democrat,House,CA,PepsiCo Inc,PEP:US,10 Nov,20 Oct 2023,19,Child,BUY,1K–15K,160.0,20003768546
