Lois Frankel,Democrat,House,FL,Thermo Fisher Scientific Inc,TMO:US,31 Dec,17 Nov 2021,43,Undisclosed,SELL,1K–15K,637.3,20003708791
Diana Harshbarger,Republican,House,TN,Magna International Inc,MGA:US,31 Dec,20 Oct 2021,71,Undisclosed,SELL,1K–15K,84.54,20003708792
Diana Harshbarger,Republican,House,TN,Magna International Inc,MGA:US,31 Dec,20 Oct 2021,71,Undisclosed,SELL,1K–15K,84.54,20003708793
Diana Harshbarger,Republican,House,TN,Magna International Inc,MGA:US,31 Dec,20 Oct 2021,71,Joint,SELL,1K–15K,84.54,20003708794
Diana Harshbarger,Republican,House,TN,Magna International Inc,MGA:US,31 Dec,20 Oct 2021,71,Spouse,SELL,1K–15K,84.54,20003708795
Diana Harshbarger,Republican,House,TN,Oshkosh Corp,OSK:US,31 Dec,22 Oct 2021,69,Undisclosed,BUY,1K–15K,105.64,20003708796
Diana Harshbarger,Republican,House,TN,Oshkosh Corp,OSK:US,31 Dec,22 Oct 2021,69,Undisclosed,BUY,1K–15K,105.64,20003708797
Diana Harshbarger,Republican,House,TN,Oshkosh Corp,OSK:US,31 Dec,22 Oct 2021,69,Joint,BUY,1K–15K,105.64,20003708798
Diana Harshbarger,Republican,House,TN,Oshkosh Corp,OSK:US,31 Dec,22 Oct 2021,69,Spouse,BUY,1K–15K,105.64,20003708799
Diana Harshbarger,Republican,House,TN,STATE OF WASHINGTON,N/A,31 Dec,25 Oct 2021,66,Undisclosed,SELL,1K–15K,N/A,20003708800
Diana Harshbarger,Republican,House,TN,AB PRIVATE CREDIT INVESTORS CORP,N/A,31 Dec,26 Oct 2021,65,Undisclosed,BUY,1K–15K,N/A,20003708801
Diana Harshbarger,Republican,House,TN,COUNTY OF LOS ANGELES,N/A,31 Dec,26 Oct 2021,65,Undisclosed,BUY,1K–15K,N/A,20003708802
