Bob Gibbs,Republican,House,OH,Boeing Co,BA:US,24 Dec,22 Dec 2021,1,Undisclosed,SELL,15K–50K,201.69,20003708757
Bill Hagerty,Republican,Senate,TN,VROOM Inc,VRM:US,23 Dec,16 Dec 2021,6,Self,SELL,1K–15K,10.53,10000059208
Bill Hagerty,Republican,Senate,TN,Qwest Corp 7.0 Notes due 2056,N/A,23 Dec,1 Dec 2021,21,Self,SELL,50K–100K,N/A,10000059209
Dwight Evans,Democrat,House,PA,American Electric Power Co Inc,AEP:US,23 Dec,2 Nov 2021,50,Undisclosed,SELL,1K–15K,85.3,20003708742
Dwight Evans,Democrat,House,PA,ARK Genomic Revolution Multi-Sector ETF,ARKG:US,23 Dec,2 Nov 2021,50,Undisclosed,SELL,1K–15K,76.83,20003708743
Dwight Evans,Democrat,House,PA,Principal Healthcare Innovators ETF,BTEC:US,23 Dec,2 Nov 2021,50,Undisclosed,BUY,1K–15K,55.986,20003708744
Dwight Evans,Democrat,House,PA,SPDR Blackstone/ GSO Senior Loan ETF,SRLN:US,23 Dec,2 Nov 2021,50,Spouse,BUY,1K–15K,45.75,20003708745
Ed Perlmutter,Democrat,House,CO,Costco Wholesale Corp,COST:US,23 Dec,26 Nov 2021,26,Spouse,SELL,1K–15K,546.13,20003708748
Ed Perlmutter,Democrat,House,CO,Ford Motor Co,F:US,23 Dec,26 Nov 2021,26,Spouse,BUY,1K–15K,19.75,20003708749
Lois Frankel,Democrat,House,FL,American Express Co,AXP:US,22 Dec,10 Nov 2021,41,Undisclosed,BUY,1K–15K,181.39,20003708725
Lois Frankel,Democrat,House,FL,Eaton Corp PLC,ETN:US,22 Dec,10 Nov 2021,41,Undisclosed,SELL,1K–15K,171.87,20003708726
Lois Frankel,Democrat,House,FL,Eaton Corp PLC,ETN:US,22 Dec,11 Nov 2021,40,Undisclosed,SELL,1K–15K,169.92,20003708727
