Trey Hollingsworth,Republican,House,IN,Enterprise Products Partners LP,EPD:US,17 Nov,2 Nov 2021,14,Undisclosed,BUY,50K–100K,22.19,20003707749
Pat Toomey,Republican,Senate,PA,Simon Property Group Inc,SPG:US,16 Nov,15 Oct 2021,31,Joint,BUY,1K–15K,140.22,10000059078
Josh Gottheimer,Democrat,House,NJ,Advanced Micro Devices Inc,AMD:US,16 Nov,5 Oct 2021,41,Joint,BUY,1K–15K,101.81,20003707178
Josh Gottheimer,Democrat,House,NJ,Affirm Holdings Inc,AFRM:US,16 Nov,12 Oct 2021,34,Joint,BUY,1K–15K,140.67,20003707179
Josh Gottheimer,Democrat,House,NJ,Alibaba Group Holding Ltd,BABA:US,16 Nov,18 Oct 2021,28,Joint,BUY,1K–15K,166.82,20003707180
Josh Gottheimer,Democrat,House,NJ,Allianz SE,ALIZY:US,16 Nov,18 Oct 2021,28,Joint,BUY,1K–15K,23.034,20003707181
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,16 Nov,29 Oct 2021,17,Joint,BUY,1K–15K,149.8,20003707182
Josh Gottheimer,Democrat,House,NJ,BHP Group Ltd,BHP:US,16 Nov,18 Oct 2021,28,Joint,BUY,1K–15K,58.01,20003707183
Josh Gottheimer,Democrat,House,NJ,Biogen Inc,BIIB:US,16 Nov,18 Oct 2021,28,Joint,BUY,1K–15K,269.73,20003707184
Josh Gottheimer,Democrat,House,NJ,Biomarin Pharmaceutical Inc,BMRN:US,16 Nov,18 Oct 2021,28,Joint,SELL,1K–15K,73.92,20003707185
Josh Gottheimer,Democrat,House,NJ,Blackstone Group Inc,BX:US,16 Nov,12 Oct 2021,34,Joint,BUY,1K–15K,115.94,20003707186
Josh Gottheimer,Democrat,House,NJ,Covetrus Inc,CVET:US,16 Nov,18 Oct 2021,28,Joint,BUY,1K–15K,19.75,20003707187
