Virginia Foxx,Republican,House,NC,Via Renewables Inc,VIA:US,3 Nov,8 Oct 2021,25,Joint,BUY,1K–15K,25.45,20003706966
Lois Frankel,Democrat,House,FL,Aon PLC,AON:US,2 Nov,6 Oct 2021,26,Undisclosed,SELL,1K–15K,290.83,20003705817
Lois Frankel,Democrat,House,FL,CarGurus Inc,CARG:US,2 Nov,27 Sept 2021,35,Undisclosed,BUY,1K–15K,32.6,20003705818
Lois Frankel,Democrat,House,FL,Host Hotels & Resorts Inc,HST:US,2 Nov,27 Sept 2021,35,Undisclosed,SELL,1K–15K,17.0,20003705819
Lois Frankel,Democrat,House,FL,Host Hotels & Resorts Inc,HST:US,2 Nov,24 Sept 2021,38,Undisclosed,SELL,1K–15K,16.96,20003705820
Lois Frankel,Democrat,House,FL,KKR & Co Inc,KKR:US,2 Nov,30 Sept 2021,32,Undisclosed,BUY,1K–15K,60.88,20003705821
Lois Frankel,Democrat,House,FL,KKR & Co Inc,KKR:US,2 Nov,6 Oct 2021,26,Undisclosed,BUY,1K–15K,61.86,20003705822
Lois Frankel,Democrat,House,FL,Markel Corp,MKL:US,2 Nov,28 Sept 2021,34,Undisclosed,BUY,1K–15K,"1,194.5",20003705823
Lois Frankel,Democrat,House,FL,Marriott International Inc,MAR:US,2 Nov,23 Sept 2021,39,Undisclosed,BUY,1K–15K,149.91,20003705824
Lois Frankel,Democrat,House,FL,Marriott International Inc,MAR:US,2 Nov,24 Sept 2021,38,Undisclosed,BUY,1K–15K,152.51,20003705825
Lois Frankel,Democrat,House,FL,Ollie's Bargain Outlet Holdings Inc,OLLI:US,2 Nov,28 Sept 2021,34,Undisclosed,BUY,1K–15K,65.73,20003705826
Lois Frankel,Democrat,House,FL,The PNC Financial Services Group Inc,PNC:US,2 Nov,29 Sept 2021,33,Undisclosed,SELL,1K–15K,197.44,20003705827
