David Kustoff,Republican,House,TN,Roku Inc,ROKU:US,27 Oct,18 Oct 2021,8,Undisclosed,BUY,1K–15K,344.46,20003704148
Chris Jacobs,Republican,House,NY,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,N/A,26 Oct,22 Sept 2021,33,Undisclosed,SELL,15K–50K,N/A,20003703142
Diana Harshbarger,Republican,House,TN,Activision Blizzard Inc,ATVI:US,26 Oct,21 Sept 2021,34,Undisclosed,SELL,1K–15K,73.03,20003704006
Diana Harshbarger,Republican,House,TN,Activision Blizzard Inc,ATVI:US,26 Oct,21 Sept 2021,34,Joint,SELL,1K–15K,73.03,20003704007
Diana Harshbarger,Republican,House,TN,Activision Blizzard Inc,ATVI:US,26 Oct,21 Sept 2021,34,Undisclosed,SELL,1K–15K,73.03,20003704008
Diana Harshbarger,Republican,House,TN,Activision Blizzard Inc,ATVI:US,26 Oct,21 Sept 2021,34,Spouse,SELL,1K–15K,73.03,20003704009
Diana Harshbarger,Republican,House,TN,United Rentals Inc,URI:US,26 Oct,22 Sept 2021,33,Undisclosed,SELL,1K–15K,345.9,20003704010
Diana Harshbarger,Republican,House,TN,United Rentals Inc,URI:US,26 Oct,22 Sept 2021,33,Joint,SELL,1K–15K,345.9,20003704011
Diana Harshbarger,Republican,House,TN,Adobe Inc,ADBE:US,26 Oct,22 Sept 2021,33,Undisclosed,BUY,1K–15K,626.08,20003704012
Diana Harshbarger,Republican,House,TN,United Rentals Inc,URI:US,26 Oct,22 Sept 2021,33,Undisclosed,SELL,1K–15K,345.9,20003704013
Diana Harshbarger,Republican,House,TN,United Rentals Inc,URI:US,26 Oct,22 Sept 2021,33,Spouse,SELL,1K–15K,345.9,20003704014
Diana Harshbarger,Republican,House,TN,Reinsurance Group of America Inc,RGA:US,26 Oct,27 Sept 2021,28,Undisclosed,SELL,1K–15K,112.32,20003704015
