Alan Lowenthal,Democrat,House,CA,Hyatt Hotels Corp,H:US,8 Oct,28 Sept 2021,9,Joint,BUY,1K–15K,N/A,20003695249
Marie Newman,Democrat,House,IL,Coinbase Global Inc,COIN:US,7 Oct,14 Sept 2021,22,Spouse,BUY,15K–50K,243.0,20003694408
Marie Newman,Democrat,House,IL,Metlife Inc,MET:US,7 Oct,17 Sept 2021,19,Spouse,SELL,1K–15K,61.72,20003694409
Marie Newman,Democrat,House,IL,Metlife Inc,MET:US,7 Oct,7 Sept 2021,29,Spouse,BUY,1K–15K,60.88,20003694410
Marie Newman,Democrat,House,IL,Metlife Inc,MET:US,7 Oct,7 Sept 2021,29,Spouse,BUY,1K–15K,60.88,20003694411
Marie Newman,Democrat,House,IL,Peloton Interactive Inc,PTON:US,7 Oct,8 Sept 2021,28,Spouse,BUY,1K–15K,97.5,20003694412
Marie Newman,Democrat,House,IL,Peloton Interactive Inc,PTON:US,7 Oct,10 Sept 2021,26,Spouse,SELL,1K–15K,114.39,20003694413
Marie Newman,Democrat,House,IL,Ryder System Inc,R:US,7 Oct,7 Sept 2021,29,Spouse,BUY,15K–50K,80.08,20003694414
Marie Newman,Democrat,House,IL,Zoom Video Communications Inc,ZM:US,7 Oct,7 Sept 2021,29,Spouse,BUY,15K–50K,299.96,20003694415
Victoria Spartz,Republican,House,IN,Simon Property Group Inc,SPG:US,7 Oct,5 Oct 2021,1,Undisclosed,BUY,15K–50K,131.39,20003694417
Kurt Schrader,Democrat,House,OR,Sea Ltd,SE:US,7 Oct,1 Sept 2021,35,Undisclosed,SELL,1K–15K,340.08,20003697166
Kurt Schrader,Democrat,House,OR,The Home Depot Inc,HD:US,7 Oct,1 Sept 2021,35,Undisclosed,SELL,1K–15K,323.64,20003697167
