Tom Carper,Democrat,Senate,DE,JPMorgan Chase & Co,JPM:US,5 Oct,10 Sept 2021,24,Spouse,SELL,15K–50K,N/A,10000057183
Richard Blumenthal,Democrat,Senate,CT,9YARDS OPPORTUNITY SERIES 27 LLC,N/A,5 Oct,22 Sept 2021,12,Undisclosed,BUY,1K–15K,N/A,10000057565
Richard Blumenthal,Democrat,Senate,CT,9YARDS OPPORTUNITY SERIES 27 LLC,N/A,5 Oct,22 Sept 2021,12,Spouse,BUY,15K–50K,N/A,10000057566
Richard Blumenthal,Democrat,Senate,CT,9YARDS OPPORTUNITY SERIES 27 LLC,N/A,5 Oct,22 Sept 2021,12,Spouse,BUY,1K–15K,N/A,10000057567
Richard Blumenthal,Democrat,Senate,CT,MAYA CAPITAL VENTURES II LP,N/A,5 Oct,2 Sept 2021,32,Spouse,BUY,15K–50K,N/A,10000057568
Richard Blumenthal,Democrat,Senate,CT,MAYA CAPITAL SERIES CO INVEST I LP SERIES KOVI B,N/A,5 Oct,2 Sept 2021,32,Spouse,BUY,15K–50K,N/A,10000057569
Richard Blumenthal,Democrat,Senate,CT,FIREFLY FL FUND I,N/A,5 Oct,10 Sept 2021,24,Spouse,BUY,50K–100K,N/A,10000057570
Richard Blumenthal,Democrat,Senate,CT,VALIANT PEREGRINE FUND 2 LP,N/A,5 Oct,29 Sept 2021,5,Spouse,BUY,1K–15K,N/A,10000057571
Richard Blumenthal,Democrat,Senate,CT,VALIANT PEREGRINE FUND 2 LP,N/A,5 Oct,29 Sept 2021,5,Spouse,BUY,1K–15K,N/A,10000057572
Richard Blumenthal,Democrat,Senate,CT,VALIANT PEREGRINE FUND 2 LP,N/A,5 Oct,29 Sept 2021,5,Undisclosed,BUY,1K–15K,N/A,10000057573
Virginia Foxx,Republican,House,NC,BP PLC,BP:US,5 Oct,27 Sept 2021,7,Joint,BUY,1K–15K,27.08,20003692666
Virginia Foxx,Republican,House,NC,Exxon Mobil Corp,XOM:US,5 Oct,13 Sept 2021,21,Joint,BUY,1K–15K,55.37,20003692667
