Fred Upton,Republican,House,MI,Costco Wholesale Corp,COST:US,11 Sept,20 Aug 2021,21,Undisclosed,BUY,15K–50K,458.99,20003679971
Tommy Tuberville,Republican,Senate,AL,Calix Inc,CALX:US,9 Sept,30 Aug 2021,9,Joint,SELL,1K–15K,N/A,10000055867
Tommy Tuberville,Republican,Senate,AL,ChannelAdvisor Corp,ECOM:US,9 Sept,30 Aug 2021,9,Joint,SELL,1K–15K,N/A,10000055868
Tommy Tuberville,Republican,Senate,AL,ChannelAdvisor Corp,ECOM:US,9 Sept,30 Aug 2021,9,Joint,SELL,1K–15K,N/A,10000055869
Tommy Tuberville,Republican,Senate,AL,Calix Inc,CALX:US,9 Sept,27 Aug 2021,12,Joint,BUY,1K–15K,N/A,10000055870
Tommy Tuberville,Republican,Senate,AL,Stratasys Ltd,SSYS:US,9 Sept,18 Aug 2021,21,Joint,BUY,1K–15K,20.21,10000055871
Tommy Tuberville,Republican,Senate,AL,Southern States Bancshares Inc,SSBK:US,9 Sept,12 Aug 2021,27,Joint,BUY,50K–100K,19.77,10000055872
Tommy Tuberville,Republican,Senate,AL,Intel Corp,INTC:US,9 Sept,10 Aug 2021,29,Joint,SELL,1K–15K,N/A,10000055873
Tommy Tuberville,Republican,Senate,AL,Occidental Petroleum Corp,OXY:US,9 Sept,2 Aug 2021,37,Joint,SELL,1K–15K,N/A,10000055874
Tommy Tuberville,Republican,Senate,AL,Occidental Petroleum Corp,OXY:US,9 Sept,2 Aug 2021,37,Joint,SELL,1K–15K,N/A,10000055875
Tommy Tuberville,Republican,Senate,AL,CME WHEAT,N/A,9 Sept,20 Aug 2021,19,Self,SELL,1K–15K,N/A,10000055876
Tommy Tuberville,Republican,Senate,AL,CME WHEAT,N/A,9 Sept,19 Aug 2021,20,Self,SELL,1K–15K,N/A,10000055877
