John Curtis,Republican,House,UT,The Sherwin-Williams Co,SHW:US,3 Sept,12 Aug 2021,21,Joint,BUY,1K–15K,303.71,20003674199
Tom Carper,Democrat,Senate,DE,Landmark Infrastructure Partners LP,LMRK:US,2 Sept,23 Aug 2021,9,Spouse,SELL,1K–15K,16.16,10000055677
Tom Carper,Democrat,Senate,DE,The Goldman Sachs Group Inc,GS:US,2 Sept,13 Aug 2021,19,Spouse,BUY,15K–50K,N/A,10000055678
Tom Carper,Democrat,Senate,DE,Credit Suisse Group,CS:US,2 Sept,12 Aug 2021,20,Spouse,SELL,15K–50K,N/A,10000055679
Tom Carper,Democrat,Senate,DE,WW International Inc,WW:US,2 Sept,11 Aug 2021,21,Spouse,BUY,1K–15K,24.36,10000055680
Tom Carper,Democrat,Senate,DE,Alexandria Real Estate Equities Inc,ARE:US,2 Sept,4 Aug 2021,28,Spouse,SELL,1K–15K,204.47,10000055681
Tom Carper,Democrat,Senate,DE,CoreSite Realty Corp,COR:US,2 Sept,4 Aug 2021,28,Spouse,BUY,1K–15K,139.29,10000055682
John Boozman,Republican,Senate,AR,ROCKY BRANCH RESORT,N/A,1 Sept,28 Jul 2021,34,Undisclosed,BUY,100K–250K,N/A,10000055676
Alan Lowenthal,Democrat,House,CA,LegalZoom.com Inc,LZ:US,31 Aug,13 Aug 2021,17,Spouse,BUY,1K–15K,34.84,20003673135
Alan Lowenthal,Democrat,House,CA,LegalZoom.com Inc,LZ:US,31 Aug,16 Aug 2021,14,Spouse,BUY,1K–15K,34.05,20003673136
Alan Lowenthal,Democrat,House,CA,The Kraft Heinz Co,KHC:US,31 Aug,10 Aug 2021,20,Spouse,BUY,1K–15K,N/A,20003673137
David Rouzer,Republican,House,NC,Altria Group Inc,MO:US,31 Aug,19 Aug 2021,11,Undisclosed,SELL,1K–15K,48.24,20003673138
