Jim Langevin,Democrat,House,RI,Zillow Group Inc,ZG:US,15 Aug,29 Jul 2021,16,Undisclosed,BUY,100K–250K,107.97,20003670913
Tommy Tuberville,Republican,Senate,AL,CME CORN,N/A,14 Aug,20 Jul 2021,24,Self,SELL,1K–15K,N/A,10000053861
Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,14 Aug,19 Jul 2021,25,Self,SELL,1K–15K,N/A,10000053862
Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,14 Aug,9 Jul 2021,35,Self,SELL,1K–15K,N/A,10000053863
Tommy Tuberville,Republican,Senate,AL,CME CORN,N/A,14 Aug,7 Jul 2021,37,Self,SELL,1K–15K,N/A,10000053864
Tommy Tuberville,Republican,Senate,AL,CME CORN,N/A,14 Aug,9 Jul 2021,35,Self,SELL,1K–15K,N/A,10000053865
Tommy Tuberville,Republican,Senate,AL,Ford Motor Co,F:US,14 Aug,30 Jul 2021,14,Joint,SELL,15K–50K,N/A,10000053866
Tommy Tuberville,Republican,Senate,AL,Alcoa Corp,AA:US,14 Aug,29 Jul 2021,15,Joint,BUY,1K–15K,N/A,10000053867
Tommy Tuberville,Republican,Senate,AL,NVIDIA Corporation,NVDA:US,14 Aug,28 Jul 2021,16,Joint,SELL,15K–50K,N/A,10000053868
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Aug,21 Jul 2021,23,Joint,SELL,1K–15K,N/A,10000053869
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Aug,21 Jul 2021,23,Joint,SELL,1K–15K,N/A,10000053870
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Aug,21 Jul 2021,23,Joint,SELL,1K–15K,N/A,10000053871
