Gary Peters,Democrat,Senate,MI,Ford Motor Credit Co LLC,F1:US,4 Aug,7 Jul 2021,27,Self,BUY,15K–50K,N/A,10000053764
Lois Frankel,Democrat,House,FL,CDK Global Inc,CDK:US,4 Aug,30 Jun 2021,34,Undisclosed,SELL,1K–15K,49.69,20003459036
Lois Frankel,Democrat,House,FL,The Clorox Co,CLX:US,4 Aug,26 Jun 2021,38,Undisclosed,BUY,1K–15K,176.65,20003459037
Lois Frankel,Democrat,House,FL,Duke Energy Corp,DUK:US,4 Aug,30 Jun 2021,34,Undisclosed,BUY,1K–15K,98.72,20003459038
Lois Frankel,Democrat,House,FL,DuPont De Nemours Inc,DD:US,4 Aug,14 Jul 2021,20,Undisclosed,BUY,1K–15K,79.51,20003459039
Lois Frankel,Democrat,House,FL,Fiserv Inc,FI:US,4 Aug,14 Jul 2021,20,Undisclosed,SELL,1K–15K,109.74,20003459040
Lois Frankel,Democrat,House,FL,Roche Holding AG,RHHBY:US,4 Aug,30 Jun 2021,34,Undisclosed,SELL,1K–15K,47.135,20003459041
Lois Frankel,Democrat,House,FL,Royal Gold Inc,RGLD:US,4 Aug,2 Jul 2021,32,Undisclosed,BUY,1K–15K,116.94,20003459042
Lois Frankel,Democrat,House,FL,Royal Gold Inc,RGLD:US,4 Aug,1 Jul 2021,33,Undisclosed,BUY,1K–15K,114.53,20003459043
Lois Frankel,Democrat,House,FL,Royal Gold Inc,RGLD:US,4 Aug,30 Jun 2021,34,Undisclosed,BUY,1K–15K,114.1,20003459044
August Pfluger,Republican,House,TX,Bank of America Corp,BAC:US,4 Aug,31 Mar 2021,125,Spouse,SELL,1K–15K,38.69,20003461864
August Pfluger,Republican,House,TX,Fidelity National Financial Inc FNF Group,FNF:US,4 Aug,31 Mar 2021,125,Undisclosed,BUY,1K–15K,40.66,20003461865
