Billy Long,Republican,House,MO,The Southern Co,SO:US,17 Jun,9 Jun 2021,7,Undisclosed,SELL,50K–100K,63.63,20001690400
Kevin Hern,Republican,House,OK,Accenture PLC,ACN:US,16 Jun,14 May 2021,32,Joint,BUY,1K–15K,288.2,20001668102
Kevin Hern,Republican,House,OK,AdaptHealth Corp,AHCO:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,24.53,20001668103
Kevin Hern,Republican,House,OK,AdaptHealth Corp,AHCO:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,24.53,20001668104
Kevin Hern,Republican,House,OK,AdaptHealth Corp,AHCO:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,24.53,20001668105
Kevin Hern,Republican,House,OK,Adobe Inc,ADBE:US,16 Jun,20 May 2021,26,Joint,BUY,250K–500K,491.67,20001668106
Kevin Hern,Republican,House,OK,Boston Scientific Corp,BSX:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,41.92,20001668107
Kevin Hern,Republican,House,OK,Boston Scientific Corp,BSX:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,41.92,20001668108
Kevin Hern,Republican,House,OK,Boston Scientific Corp,BSX:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,41.92,20001668109
Kevin Hern,Republican,House,OK,Cadence Design Systems Inc,CDNS:US,16 Jun,26 May 2021,20,Joint,BUY,100K–250K,126.83,20001668110
Kevin Hern,Republican,House,OK,CareCloud Inc,MTBC:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,8.42,20001668111
Kevin Hern,Republican,House,OK,CareCloud Inc,MTBC:US,16 Jun,20 May 2021,26,Child,BUY,1K–15K,8.42,20001668112
