Michael McCaul,Republican,House,TX,Cullen/Frost Bankers Inc,CFR:US,27 May,7 Apr 2021,49,Child,SELL,100K–250K,108.74,20001643460
Lois Frankel,Democrat,House,FL,CarGurus Inc,CARG:US,26 May,23 Apr 2021,32,Undisclosed,BUY,1K–15K,25.45,20001643349
Lois Frankel,Democrat,House,FL,The Goldman Sachs Group Inc,GS:US,26 May,21 Apr 2021,34,Undisclosed,SELL,1K–15K,335.27,20001643350
Lois Frankel,Democrat,House,FL,Haemonetics Corp,HAE:US,26 May,7 May 2021,18,Undisclosed,SELL,1K–15K,61.04,20001643351
Lois Frankel,Democrat,House,FL,Haemonetics Corp,HAE:US,26 May,6 May 2021,19,Undisclosed,SELL,1K–15K,61.44,20001643352
Lois Frankel,Democrat,House,FL,Medtronic PLC,MDT:US,26 May,5 May 2021,20,Undisclosed,SELL,1K–15K,127.0,20001643353
Lois Frankel,Democrat,House,FL,Morgan Stanley,MS:US,26 May,21 Apr 2021,34,Undisclosed,BUY,1K–15K,79.25,20001643354
Lois Frankel,Democrat,House,FL,Thermo Fisher Scientific Inc,TMO:US,26 May,5 May 2021,20,Undisclosed,BUY,1K–15K,467.77,20001643355
Andrew Garbarino,Republican,House,NY,Bank of America Corp,BAC:US,25 May,23 Apr 2021,31,Undisclosed,SELL,1K–15K,39.18,20001643340
Andrew Garbarino,Republican,House,NY,Golden Star Resources Ltd,GSS:US,25 May,23 Apr 2021,31,Undisclosed,SELL,1K–15K,3.67,20001643341
Andrew Garbarino,Republican,House,NY,Onespaworld Holdings Ltd,OSW:US,25 May,23 Apr 2021,31,Undisclosed,BUY,1K–15K,10.25,20001643342
Andrew Garbarino,Republican,House,NY,Oramed Pharmaceuticals Inc,ORMP:US,25 May,23 Apr 2021,31,Undisclosed,BUY,1K–15K,9.78,20001643343
