Susie Lee,Democrat,House,NV,Williams-Sonoma Inc,WSM:US,6 May,24 Mar 2021,42,Joint,SELL,1K–15K,165.83,20001640792
Pete Sessions,Republican,House,TX,Crown Castle International Corp,CCI:US,6 May,4 May 2021,1,Spouse,BUY,1K–15K,183.9,20001640793
Pete Sessions,Republican,House,TX,NVIDIA Corporation,NVDA:US,6 May,4 May 2021,1,Spouse,BUY,1K–15K,574.05,20001640794
Pete Sessions,Republican,House,TX,Amazon.com Inc,AMZN:US,6 May,4 May 2021,1,Undisclosed,BUY,15K–50K,"3,311.87",20001640795
Bill Hagerty,Republican,Senate,TN,Natera Inc,NTRA:US,5 May,20 Apr 2021,14,Self,SELL,1K–15K,104.06,10000046994
Earl Blumenauer,Democrat,House,OR,The Howard Hughes Corp,HHC:US,5 May,9 Apr 2021,25,Spouse,SELL,1K–15K,99.94,20001640407
Earl Blumenauer,Democrat,House,OR,The Howard Hughes Corp,HHC:US,5 May,12 Apr 2021,22,Spouse,SELL,1K–15K,99.97,20001640408
Earl Blumenauer,Democrat,House,OR,The Howard Hughes Corp,HHC:US,5 May,13 Apr 2021,21,Spouse,SELL,1K–15K,99.91,20001640409
Earl Blumenauer,Democrat,House,OR,Realty Income Corp,N/A,5 May,15 Apr 2021,19,Spouse,BUY,1K–15K,66.92,20001640410
Earl Blumenauer,Democrat,House,OR,US TREASURY NOTE,N/A,5 May,30 Apr 2021,4,Spouse,SELL,50K–100K,N/A,20001640411
Tom Carper,Democrat,Senate,DE,Barclays PLC,BCS:US,4 May,28 Apr 2021,5,Spouse,SELL,15K–50K,N/A,10000046985
Tom Carper,Democrat,Senate,DE,Nuance Communications Inc,NUAN:US,4 May,13 Apr 2021,20,Spouse,SELL,1K–15K,52.24,10000046986
