Mark Green,Republican,House,TN,United Airlines Holdings Inc,UAL:US,29 Mar,24 Mar 2021,4,Joint,BUY,1K–15K,53.83,20001623512
Alan Lowenthal,Democrat,House,CA,SPDR S&P Regional Banking ETF,KRE:US,29 Mar,18 Mar 2021,10,Spouse,BUY,1K–15K,70.13,20001623513
Alan Lowenthal,Democrat,House,CA,SPDR S&P Regional Banking ETF,KRE:US,29 Mar,18 Mar 2021,10,Spouse,BUY,15K–50K,70.13,20001623514
Alan Lowenthal,Democrat,House,CA,Adobe Inc,ADBE:US,29 Mar,17 Mar 2021,11,Joint,BUY,< 1K,451.01,20001623515
Alan Lowenthal,Democrat,House,CA,ARES CAPITAL CORPORATION,ARCC:US,29 Mar,18 Mar 2021,10,Joint,SELL,1K–15K,N/A,20001623516
Alan Lowenthal,Democrat,House,CA,AUTODESK Inc,ADSK:US,29 Mar,17 Mar 2021,11,Joint,BUY,1K–15K,272.84,20001623517
Alan Lowenthal,Democrat,House,CA,SPDR S&P Regional Banking ETF,KRE:US,29 Mar,18 Mar 2021,10,Joint,BUY,1K–15K,70.13,20001623518
Lois Frankel,Democrat,House,FL,Alliant Energy Corporation,LNT:US,27 Mar,15 Mar 2021,11,Undisclosed,BUY,1K–15K,52.695,20001622615
Lois Frankel,Democrat,House,FL,Bank of Hawaii Corp,BOH:US,27 Mar,15 Mar 2021,11,Undisclosed,BUY,1K–15K,95.27,20001622618
Lois Frankel,Democrat,House,FL,Hess Corp,HES:US,27 Mar,15 Mar 2021,11,Undisclosed,SELL,1K–15K,71.48,20001622627
Lois Frankel,Democrat,House,FL,Morgan Stanley,MS:US,27 Mar,24 Mar 2021,2,Undisclosed,BUY,1K–15K,79.33,20001622631
Lois Frankel,Democrat,House,FL,Xcel Energy Inc,XEL:US,27 Mar,15 Mar 2021,11,Undisclosed,BUY,1K–15K,63.07,20001622635
