Dan Bishop,Republican,House,NC,US TREASURY BILLS,N/A,27 Oct,26 Oct 2023,1,Undisclosed,BUY,250K–500K,N/A,20003768236
Eleanor Holmes Norton,Democrat,House,WA,VIRGINIA RESOURCES AUTHORITY,N/A,24 Oct,13 Oct 2023,11,Undisclosed,SELL,15K–50K,N/A,20003768231
James Vance,Republican,Senate,OH,Walmart Inc,WMT:US,23 Oct,3 Oct 2023,20,Self,SELL,50K–100K,159.09,10000061592
Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,23 Oct,20 Oct 2023,1,Spouse,BUY,1K–15K,17.72,20003768230
Pete Ricketts,Republican,Senate,NE,YUM BRANDS Inc,YUM:US,20 Oct,21 Sept 2023,29,Spouse,SELL,50K–100K,124.69,10000061567
Pete Ricketts,Republican,Senate,NE,Western Alliance Bancorporation,WAL:US,20 Oct,21 Sept 2023,29,Spouse,SELL,50K–100K,45.71,10000061568
Pete Ricketts,Republican,Senate,NE,Verizon Communications Inc,VZ:US,20 Oct,21 Sept 2023,29,Spouse,SELL,50K–100K,33.29,10000061569
Pete Ricketts,Republican,Senate,NE,Union Pacific Corp,UNP:US,20 Oct,21 Sept 2023,29,Spouse,SELL,100K–250K,211.4,10000061570
Pete Ricketts,Republican,Senate,NE,Unitedhealth Group Inc,UNH:US,20 Oct,21 Sept 2023,29,Spouse,SELL,100K–250K,501.14,10000061571
Pete Ricketts,Republican,Senate,NE,The PNC Financial Services Group Inc,PNC:US,20 Oct,21 Sept 2023,29,Spouse,SELL,50K–100K,122.17,10000061572
Pete Ricketts,Republican,Senate,NE,Philip Morris International Inc,PM:US,20 Oct,21 Sept 2023,29,Spouse,SELL,100K–250K,95.92,10000061573
Pete Ricketts,Republican,Senate,NE,Prologis Inc,PLD:US,20 Oct,21 Sept 2023,29,Spouse,SELL,50K–100K,114.55,10000061574
