Max Miller,Republican,House,OH,NEW WATER CAPITAL PARTNERS II LP,N/A,16 Oct,12 Oct 2023,1,Undisclosed,BUY,< 1K,N/A,20003767985
Josh Gottheimer,Democrat,House,NJ,Adyen N.V,ADYEY:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,7.658,20003767932
Josh Gottheimer,Democrat,House,NJ,Allegiant Travel Co,ALGT:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,84.63,20003767933
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,16 Oct,15 Sept 2023,30,Joint,BUY,1K–15K,138.3,20003767934
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,16 Oct,26 Sept 2023,19,Joint,SELL,1K–15K,171.96,20003767935
Josh Gottheimer,Democrat,House,NJ,ARCUTIS BIOTHERAPEUTICS INC,ARQT:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,6.81,20003767936
Josh Gottheimer,Democrat,House,NJ,Atlas Copco AB,ATLKY:US,16 Oct,12 Sept 2023,33,Joint,SELL,1K–15K,13.429,20003767937
Josh Gottheimer,Democrat,House,NJ,Azenta Inc,AZTA:US,16 Oct,15 Sept 2023,30,Undisclosed,SELL,1K–15K,51.1,20003767938
Josh Gottheimer,Democrat,House,NJ,BioCryst Pharmaceuticals Inc,BCRX:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,6.85,20003767939
Josh Gottheimer,Democrat,House,NJ,Broadcom Inc,AVGO:US,16 Oct,22 Sept 2023,23,Joint,BUY,1K–15K,829.08,20003767940
Josh Gottheimer,Democrat,House,NJ,Crown Castle International Corp,CCI:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,98.41,20003767941
Josh Gottheimer,Democrat,House,NJ,Cryoport Inc,CYRX:US,16 Oct,15 Sept 2023,30,Joint,SELL,1K–15K,14.48,20003767942
