Rudy Yakym,Republican,House,IN,US TREASURY BILLS,N/A,13 Oct,12 Oct 2023,0,Undisclosed,BUY,50K–100K,N/A,20003767924
Jared Moskowitz,Democrat,House,FL,Cummins Inc,CMI:US,13 Oct,27 Sept 2023,15,Child,BUY,1K–15K,229.95,20003767920
Jared Moskowitz,Democrat,House,FL,Cummins Inc,CMI:US,13 Oct,27 Sept 2023,15,Child,BUY,1K–15K,229.95,20003767921
Jared Moskowitz,Democrat,House,FL,Target Corp,TGT:US,13 Oct,27 Sept 2023,15,Child,SELL,1K–15K,109.74,20003767922
Jared Moskowitz,Democrat,House,FL,Target Corp,TGT:US,13 Oct,27 Sept 2023,15,Child,SELL,1K–15K,109.74,20003767923
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,13 Oct,29 Sept 2023,14,Joint,BUY,1K–15K,47.7,20003767903
Kevin Hern,Republican,House,OK,Devon Energy Corp,DVN:US,13 Oct,29 Sept 2023,14,Joint,BUY,15K–50K,47.7,20003767904
Kevin Hern,Republican,House,OK,Emerson Electric Co,EMR:US,13 Oct,11 Sept 2023,32,Joint,BUY,1K–15K,100.12,20003767905
Kevin Hern,Republican,House,OK,Exxon Mobil Corp,XOM:US,13 Oct,11 Sept 2023,32,Joint,BUY,1K–15K,114.16,20003767906
Kevin Hern,Republican,House,OK,The Home Depot Inc,HD:US,13 Oct,14 Sept 2023,29,Joint,BUY,1K–15K,329.63,20003767907
Kevin Hern,Republican,House,OK,The Home Depot Inc,HD:US,13 Oct,14 Sept 2023,29,Joint,BUY,1K–15K,329.63,20003767908
Kevin Hern,Republican,House,OK,Johnson & Johnson,JNJ:US,13 Oct,7 Sept 2023,36,Joint,BUY,1K–15K,160.03,20003767909
