Max Miller,Republican,House,OH,Vanguard S&P 500 ETF,VOO:US,9 Oct,6 Oct 2023,2,Undisclosed,SELL,15K–50K,394.56,20003767538
Ro Khanna,Democrat,House,CA,Block Inc,SQ:US,9 Oct,8 Sept 2023,28,Child,SELL,1K–15K,53.08,20003767539
Ro Khanna,Democrat,House,CA,Microsoft Corp,MSFT:US,9 Oct,8 Sept 2023,28,Child,BUY,1K–15K,334.27,20003767540
Ro Khanna,Democrat,House,CA,Gartner Inc,IT:US,9 Oct,15 Sept 2023,21,Child,BUY,1K–15K,350.14,20003767541
Ro Khanna,Democrat,House,CA,Block Inc,SQ:US,9 Oct,15 Sept 2023,21,Child,SELL,1K–15K,52.83,20003767542
Ro Khanna,Democrat,House,CA,Microsoft Corp,MSFT:US,9 Oct,15 Sept 2023,21,Child,BUY,1K–15K,330.22,20003767543
Ro Khanna,Democrat,House,CA,CORVEX DYNAMIC EQUITY SELECT LLC,N/A,9 Oct,1 Sept 2023,35,Child,BUY,250K–500K,N/A,20003767544
Ro Khanna,Democrat,House,CA,TIGER GLOBAL CROSSOVER ACCESS LLC,N/A,9 Oct,25 Sept 2023,11,Child,BUY,100K–250K,N/A,20003767545
Ro Khanna,Democrat,House,CA,Intuitive Surgical Inc,ISRG:US,9 Oct,1 Sept 2023,35,Child,BUY,1K–15K,310.41,20003767546
Ro Khanna,Democrat,House,CA,NVR Inc,NVR:US,9 Oct,13 Sept 2023,23,Child,BUY,1K–15K,"6,098.86",20003767547
Ro Khanna,Democrat,House,CA,Humana Inc,HUM:US,9 Oct,13 Sept 2023,23,Child,BUY,1K–15K,472.5,20003767548
Ro Khanna,Democrat,House,CA,Laboratory Corp of America Holdings,LH:US,9 Oct,8 Sept 2023,28,Child,BUY,1K–15K,203.31,20003767549
