Katie Britt,Republican,Senate,AL,MACK BAYOU TOWNHOMES HOLDINGS LLC,N/A,18 Sept,25 Aug 2023,24,Spouse,BUY,100K–250K,N/A,10000061369
Josh Gottheimer,Democrat,House,NJ,Adyen N.V,ADYEY:US,18 Sept,21 Aug 2023,26,Joint,BUY,1K–15K,8.677,20003767301
Josh Gottheimer,Democrat,House,NJ,Alphabet Inc,GOOGL:US,18 Sept,14 Aug 2023,33,Joint,BUY,1K–15K,131.83,20003767302
Josh Gottheimer,Democrat,House,NJ,Apple Inc,AAPL:US,18 Sept,7 Aug 2023,40,Joint,SELL,15K–50K,178.85,20003767303
Josh Gottheimer,Democrat,House,NJ,Assa Abloy AB,ASAZY:US,18 Sept,21 Aug 2023,26,Joint,BUY,1K–15K,10.862,20003767304
Josh Gottheimer,Democrat,House,NJ,Assa Abloy AB,ASAZY:US,18 Sept,22 Aug 2023,25,Joint,BUY,1K–15K,11.093,20003767305
Josh Gottheimer,Democrat,House,NJ,Block Inc,SQ:US,18 Sept,22 Aug 2023,25,Joint,SELL,1K–15K,56.07,20003767306
Josh Gottheimer,Democrat,House,NJ,Chugai Pharmaceutical Co Ltd,CHGCY:US,18 Sept,18 Aug 2023,29,Joint,BUY,1K–15K,14.511,20003767307
Josh Gottheimer,Democrat,House,NJ,Dassault Systemes SA,DASTY:US,18 Sept,18 Aug 2023,29,Joint,BUY,1K–15K,38.878,20003767308
Josh Gottheimer,Democrat,House,NJ,DexCom Inc,DXCM:US,18 Sept,21 Aug 2023,26,Joint,SELL,1K–15K,104.68,20003767309
Josh Gottheimer,Democrat,House,NJ,Eaton Corp PLC,ETN:US,18 Sept,25 Aug 2023,22,Joint,BUY,1K–15K,224.25,20003767310
Josh Gottheimer,Democrat,House,NJ,Eli Lilly and Co,LLY:US,18 Sept,18 Aug 2023,29,Joint,BUY,1K–15K,546.43,20003767311
