Mike Kelly,Republican,House,PA,NORTH CAROLINA TURNPIKE AUTHORITY,N/A,13 Sept,24 Aug 2023,19,Spouse,SELL,15K–50K,N/A,20003767283
Mark Warner,Democrat,Senate,VA,Construction Partners Inc,ROAD:US,12 Sept,8 Aug 2023,35,Self,SELL,250K–500K,33.94,10000061307
Jonathan Jackson,Democrat,House,IL,EMCOR Group Inc,EME:US,12 Sept,29 Aug 2023,13,Joint,BUY,1K–15K,224.72,20003767279
Jonathan Jackson,Democrat,House,IL,NextEra Energy Inc,NEE:US,12 Sept,29 Aug 2023,13,Joint,SELL,1K–15K,67.51,20003767280
Jonathan Jackson,Democrat,House,IL,TIM S.A.,TIMB:US,12 Sept,31 Aug 2023,11,Joint,BUY,15K–50K,14.66,20003767281
Jonathan Jackson,Democrat,House,IL,Waste Connections Inc,WCN:US,12 Sept,31 Aug 2023,11,Joint,SELL,15K–50K,136.99,20003767282
Suzan DelBene,Democrat,House,WA,STATE OF ILLINOIS,N/A,12 Sept,22 Aug 2023,20,Joint,BUY,15K–50K,N/A,20003767275
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,12 Sept,30 Aug 2023,12,Spouse,SELL,250K–500K,328.79,20003767276
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,12 Sept,31 Aug 2023,11,Spouse,SELL,500K–1M,327.76,20003767277
Suzan DelBene,Democrat,House,WA,COUNTY OF PRINCE GEORGES MARYLAND,N/A,12 Sept,28 Aug 2023,14,Joint,BUY,15K–50K,N/A,20003767278
Kathy Manning,Democrat,House,NC,SEVEN BRIDGES MULTI STRATEGY FUND LP,N/A,11 Sept,31 Aug 2023,8,Spouse,BUY,1K–15K,N/A,20003767271
Rudy Yakym,Republican,House,IN,US TREASURY BILLS,N/A,11 Sept,5 Sept 2023,6,Undisclosed,BUY,50K–100K,N/A,20003767272
