Roger Marshall,Republican,Senate,KS,FARMERS ENTERPRISES INC,N/A,6 Sept,29 Aug 2023,8,Spouse,SELL,100K–250K,N/A,10000061301
Pete Sessions,Republican,House,TX,Allied Esports Entertainment Inc,AGAE:US,6 Sept,29 Aug 2023,7,Spouse,SELL,< 1K,1.0,20003766899
Pete Sessions,Republican,House,TX,C3.ai Inc,AI:US,6 Sept,5 Sept 2023,0,Spouse,SELL,< 1K,31.43,20003766900
Pete Sessions,Republican,House,TX,The Coca-Cola Co,KO:US,6 Sept,18 Aug 2023,18,Spouse,SELL,1K–15K,60.95,20003766901
Pete Sessions,Republican,House,TX,DigitalBridge Group Inc,DBRG:US,6 Sept,18 Aug 2023,18,Spouse,SELL,< 1K,15.79,20003766902
Pete Sessions,Republican,House,TX,International Business Machines Corp,IBM:US,6 Sept,18 Aug 2023,18,Spouse,SELL,1K–15K,141.41,20003766903
Pete Sessions,Republican,House,TX,Mastercard Inc,MA:US,6 Sept,21 Aug 2023,15,Spouse,SELL,1K–15K,393.2,20003766904
Pete Sessions,Republican,House,TX,Warner Bros Discover Inc,WBD:US,6 Sept,18 Aug 2023,18,Spouse,SELL,< 1K,13.406,20003766905
Michael Burgess,Republican,House,TX,Advanced Micro Devices Inc,AMD:US,6 Sept,9 Aug 2023,28,Spouse,BUY,1K–15K,110.47,20003766886
Michael Burgess,Republican,House,TX,Alphabet Inc,GOOGL:US,6 Sept,14 Aug 2023,23,Spouse,SELL,15K–50K,131.33,20003766887
Michael Burgess,Republican,House,TX,Amazon.com Inc,AMZN:US,6 Sept,14 Aug 2023,23,Spouse,SELL,15K–50K,140.57,20003766888
Michael Burgess,Republican,House,TX,Berkshire Hathaway Inc,BRK/B:US,6 Sept,14 Aug 2023,23,Spouse,SELL,15K–50K,358.48,20003766889
