Michael Burgess,Republican,House,TX,United Parcel Service Inc,UPS:US,6 Sept,9 Aug 2023,27,Undisclosed,BUY,15K–50K,179.37,20003766885
Tom Carper,Democrat,Senate,DE,Resmed Inc,RMD:US,5 Sept,29 Aug 2023,7,Spouse,BUY,1K–15K,163.93,10000061279
Tom Carper,Democrat,Senate,DE,INNODATA INC,INOD:US,5 Sept,29 Aug 2023,7,Spouse,BUY,1K–15K,14.56,10000061280
Tom Carper,Democrat,Senate,DE,NextEra Energy Inc,NEE:US,5 Sept,29 Aug 2023,7,Spouse,BUY,1K–15K,67.51,10000061281
Tom Carper,Democrat,Senate,DE,Skyworks Solutions Inc,SWKS:US,5 Sept,29 Aug 2023,7,Spouse,SELL,1K–15K,107.78,10000061282
Tom Carper,Democrat,Senate,DE,Algonquin Power & Utilities Corp,AQN:US,5 Sept,29 Aug 2023,7,Spouse,SELL,1K–15K,7.57,10000061283
Tom Carper,Democrat,Senate,DE,CrowdStrike Holdings Inc,CRWD:US,5 Sept,29 Aug 2023,7,Spouse,SELL,1K–15K,146.7,10000061284
Tom Carper,Democrat,Senate,DE,COLUMBIA EM CORE EX-CHN ETF,XCEM:US,5 Sept,16 Aug 2023,20,Spouse,BUY,1K–15K,27.86,10000061285
Tom Carper,Democrat,Senate,DE,Intellia Therapeutics Inc,NTLA:US,5 Sept,25 Aug 2023,11,Spouse,SELL,1K–15K,38.25,10000061286
Tom Carper,Democrat,Senate,DE,ProShares Short QQQ,PSQ:US,5 Sept,23 Aug 2023,13,Spouse,BUY,1K–15K,10.67,10000061287
Tom Carper,Democrat,Senate,DE,ProShares Short QQQ,PSQ:US,5 Sept,23 Aug 2023,13,Spouse,BUY,1K–15K,10.67,10000061288
Tom Carper,Democrat,Senate,DE,ProShares Short QQQ,PSQ:US,5 Sept,23 Aug 2023,13,Spouse,BUY,1K–15K,10.67,10000061289
