Ro Khanna,Democrat,House,CA,BAT INTERNATIONAL FINANCE PLC,N/A,9 Aug,13 Jul 2023,25,Child,SELL,1K–15K,N/A,20003765876
Mark Green,Republican,House,TN,Energy Transfer LP,ET:US,9 Aug,4 Aug 2023,4,Undisclosed,SELL,250K–500K,12.75,20003765679
Mark Green,Republican,House,TN,NGL Energy Partners LP,NGL:US,9 Aug,4 Aug 2023,4,Undisclosed,BUY,250K–500K,4.17,20003765680
Mark Green,Republican,House,TN,SPDR S&P 500 ETF Trust,SPY:US,9 Aug,4 Aug 2023,4,Undisclosed,SELL,15K–50K,N/A,20003765681
Mark Green,Republican,House,TN,SPDR S&P 500 ETF Trust,SPY:US,9 Aug,11 Jul 2023,28,Undisclosed,BUY,15K–50K,N/A,20003765682
Suzan DelBene,Democrat,House,WA,STATE OF ILLINOIS,N/A,9 Aug,31 Jul 2023,8,Joint,BUY,1K–15K,N/A,20003765676
Suzan DelBene,Democrat,House,WA,SPRING INDEPENDENT SCHOOL DISTRICT,N/A,9 Aug,28 Jul 2023,11,Joint,BUY,15K–50K,N/A,20003765677
Suzan DelBene,Democrat,House,WA,US TREASURY BILLS,N/A,9 Aug,19 Jul 2023,20,Joint,BUY,1M–5M,N/A,20003765678
Michael Burgess,Republican,House,TX,Blackstone Group Inc,BX:US,9 Aug,17 Jul 2023,22,Spouse,SELL,15K–50K,104.39,20003765672
Michael Burgess,Republican,House,TX,Blackstone Group Inc,BX:US,9 Aug,14 Jul 2023,25,Undisclosed,SELL,15K–50K,104.03,20003765673
Michael Burgess,Republican,House,TX,Phillips 66,PSX:US,9 Aug,21 Jul 2023,18,Undisclosed,SELL,15K–50K,105.73,20003765674
Michael Burgess,Republican,House,TX,Cigna Corp,CI:US,9 Aug,21 Jul 2023,18,Undisclosed,SELL,15K–50K,293.77,20003765675
