John Rutherford,Republican,House,FL,NN Group N.V.,NNGRY:US,3 Aug,16 Mar 2022,504,Undisclosed,SELL,1K–15K,24.719,20003765652
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,28 Jul 2023,5,Spouse,BUY,15K–50K,N/A,10000061221
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,28 Jul 2023,5,Spouse,BUY,15K–50K,N/A,10000061222
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,28 Jul 2023,5,Spouse,BUY,50K–100K,N/A,10000061223
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,27 Jul 2023,6,Spouse,SELL,15K–50K,N/A,10000061224
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,27 Jul 2023,6,Spouse,SELL,15K–50K,N/A,10000061225
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,13 Jul 2023,20,Spouse,SELL,15K–50K,N/A,10000061226
Tom Carper,Democrat,Senate,DE,ProShares Short QQQ,PSQ:US,2 Aug,13 Jul 2023,20,Spouse,BUY,1K–15K,10.31,10000061227
Tom Carper,Democrat,Senate,DE,Ranger Equity Bear ETF,HDGE:US,2 Aug,13 Jul 2023,20,Spouse,SELL,1K–15K,20.83,10000061228
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,13 Jul 2023,20,Spouse,SELL,50K–100K,N/A,10000061229
Tom Carper,Democrat,Senate,DE,US TREASURY BILLS,N/A,2 Aug,13 Jul 2023,20,Spouse,SELL,15K–50K,N/A,10000061230
Tom Carper,Democrat,Senate,DE,ProShares Short QQQ,PSQ:US,2 Aug,13 Jul 2023,20,Spouse,BUY,1K–15K,10.31,10000061231
