Rick Larsen,Democrat,House,WA,S&P Global Inc,SPGI:US,18 Jul,5 Jul 2023,12,Undisclosed,BUY,1K–15K,399.6,20003765462
Shelley Moore Capito,Republican,Senate,WV,Microsoft Corp,MSFT:US,17 Jul,12 Jun 2023,35,Spouse,SELL,15K–50K,331.85,10000061196
Shelley Moore Capito,Republican,Senate,WV,Chubb Ltd,CB:US,17 Jul,12 Jun 2023,35,Spouse,SELL,1K–15K,190.55,10000061197
Shelley Moore Capito,Republican,Senate,WV,Amgen Inc,AMGN:US,17 Jul,12 Jun 2023,35,Spouse,SELL,1K–15K,217.36,10000061198
Shelley Moore Capito,Republican,Senate,WV,Microsoft Corp,MSFT:US,17 Jul,22 Jun 2023,25,Spouse,SELL,1K–15K,339.71,10000061199
Shelley Moore Capito,Republican,Senate,WV,Nike Inc,NKE:US,17 Jul,14 Jun 2023,33,Spouse,BUY,1K–15K,112.86,10000061200
Shelley Moore Capito,Republican,Senate,WV,Apple Inc,AAPL:US,17 Jul,14 Jun 2023,33,Spouse,BUY,1K–15K,183.95,10000061201
Shelley Moore Capito,Republican,Senate,WV,The Clorox Co,CLX:US,17 Jul,14 Jun 2023,33,Spouse,SELL,1K–15K,153.94,10000061202
Shelley Moore Capito,Republican,Senate,WV,Walmart Inc,WMT:US,17 Jul,7 Jun 2023,40,Spouse,SELL,1K–15K,150.0,10000061203
Scott Peters,Democrat,House,CA,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,N/A,17 Jul,15 Jun 2023,29,Spouse,SELL,250K–500K,N/A,20003765449
Scott Peters,Democrat,House,CA,US TREASURY BILLS,N/A,17 Jul,26 Jun 2023,18,Spouse,BUY,500K–1M,N/A,20003765450
Scott Peters,Democrat,House,CA,US TREASURY BILLS,N/A,17 Jul,23 Jun 2023,21,Spouse,BUY,250K–500K,N/A,20003765451
