Scott Peters,Democrat,House,CA,US TREASURY BILLS,N/A,17 Jul,22 Jun 2023,22,Spouse,SELL,500K–1M,N/A,20003765452
Pete Sessions,Republican,House,TX,ARES CAPITAL CORPORATION,ARCC:US,17 Jul,14 Jul 2023,1,Spouse,BUY,< 1K,17.2,20003765453
Pete Sessions,Republican,House,TX,US TREASURY BILLS,N/A,17 Jul,14 Jul 2023,1,Spouse,BUY,15K–50K,N/A,20003765454
Michael Guest,Republican,House,MS,MISSISSIPPI DEVELOPMENT BANK,N/A,17 Jul,28 Jun 2023,16,Spouse,BUY,1K–15K,N/A,20003765445
Michael Guest,Republican,House,MS,MISSISSIPPI DEVELOPMENT BANK,N/A,17 Jul,2 Jun 2023,42,Spouse,BUY,50K–100K,N/A,20003765446
Michael Guest,Republican,House,MS,MISSISSIPPI DEVELOPMENT BANK,N/A,17 Jul,2 Jun 2023,42,Spouse,BUY,15K–50K,N/A,20003765447
Michael Guest,Republican,House,MS,WEST RANKIN UTILITY AUTHORITY,N/A,17 Jul,2 Jun 2023,42,Spouse,BUY,50K–100K,N/A,20003765448
Thom Tillis,Republican,Senate,NC,Kyndryl Holdings Inc,KD:US,15 Jul,30 Aug 2022,319,Self,SELL,1K–15K,10.62,10000061195
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Jul,29 Jun 2023,15,Joint,SELL,1K–15K,N/A,10000061152
Tommy Tuberville,Republican,Senate,AL,United States Steel Corp,X:US,14 Jul,20 Jun 2023,24,Joint,SELL,50K–100K,23.47,10000061153
Tommy Tuberville,Republican,Senate,AL,Microsoft Corp,MSFT:US,14 Jul,20 Jun 2023,24,Joint,SELL,250K–500K,338.05,10000061154
Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Jul,20 Jun 2023,24,Joint,BUY,15K–50K,16.44,10000061155
