Tommy Tuberville,Republican,Senate,AL,Cleveland-Cliffs Inc,CLF:US,14 Jul,1 Jun 2023,43,Joint,BUY,15K–50K,14.07,10000061180
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN MEAL,N/A,14 Jul,30 Jun 2023,14,Self,BUY,1K–15K,N/A,10000061181
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN MEAL,N/A,14 Jul,30 Jun 2023,14,Self,SELL,1K–15K,N/A,10000061182
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN MEAL,N/A,14 Jul,29 Jun 2023,15,Self,BUY,1K–15K,N/A,10000061183
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN,N/A,14 Jul,27 Jun 2023,17,Self,BUY,1K–15K,N/A,10000061184
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN,N/A,14 Jul,22 Jun 2023,22,Self,SELL,1K–15K,N/A,10000061185
Tommy Tuberville,Republican,Senate,AL,CME CORN,N/A,14 Jul,22 Jun 2023,22,Self,BUY,1K–15K,N/A,10000061186
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN OIL,N/A,14 Jul,15 Jun 2023,29,Self,BUY,1K–15K,N/A,10000061187
Tommy Tuberville,Republican,Senate,AL,CME SOYBEAN OIL,N/A,14 Jul,15 Jun 2023,29,Self,SELL,1K–15K,N/A,10000061188
Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,14 Jul,14 Jun 2023,30,Self,SELL,1K–15K,N/A,10000061189
Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,14 Jul,7 Jun 2023,37,Self,BUY,1K–15K,N/A,10000061190
Tommy Tuberville,Republican,Senate,AL,CME CATTLE,N/A,14 Jul,7 Jun 2023,37,Self,SELL,1K–15K,N/A,10000061191
