Michael McCaul,Republican,House,TX,US TREASURY NOTE,N/A,23 Jun,15 May 2023,38,Child,BUY,500K–1M,N/A,20003764786
Jim Banks,Republican,House,IN,Peloton Interactive Inc,PTON:US,22 Jun,9 Jun 2023,12,Undisclosed,BUY,1K–15K,8.31,20003764519
Angus King,Other,Senate,ME,3M Co,MMM:US,20 Jun,19 May 2023,32,Spouse,SELL,1K–15K,99.03,10000061084
Mike Garcia,Republican,House,CA,SPDR Gold Trust,GLD:US,20 Jun,8 Jun 2023,12,Undisclosed,SELL,15K–50K,182.53,20003764516
Mike Garcia,Republican,House,CA,Tesla Inc,TSLA:US,20 Jun,8 Jun 2023,12,Undisclosed,SELL,15K–50K,234.86,20003764517
Mike Garcia,Republican,House,CA,Tesla Inc,TSLA:US,20 Jun,12 Jun 2023,8,Undisclosed,SELL,50K–100K,249.83,20003764518
Rudy Yakym,Republican,House,IN,US TREASURY BILLS,N/A,19 Jun,15 Jun 2023,1,Undisclosed,BUY,15K–50K,N/A,20003764515
Daniel S. Goldman,Democrat,House,NY,ALABAMA PUBLIC SCHOOL AND COLLEGE AUTHORITY,N/A,16 Jun,11 May 2023,35,Undisclosed,SELL,15K–50K,N/A,20003764505
Daniel S. Goldman,Democrat,House,NY,NEW YORK CITY MUNICIPAL WATER FINANCE AUTHORITY,N/A,16 Jun,4 May 2023,42,Undisclosed,BUY,250K–500K,N/A,20003764506
Daniel S. Goldman,Democrat,House,NY,NEW YORK STATE ENVIRONMENTAL FACILITIES CORP,N/A,16 Jun,17 May 2023,29,Undisclosed,BUY,100K–250K,N/A,20003764507
Daniel S. Goldman,Democrat,House,NY,STATE OF NEW JERSEY,N/A,16 Jun,11 May 2023,35,Undisclosed,SELL,500K–1M,N/A,20003764508
Daniel S. Goldman,Democrat,House,NY,NEW YORK CITY TRANSITIONAL FINANCE AUTHORITY,N/A,16 Jun,11 May 2023,35,Undisclosed,BUY,250K–500K,N/A,20003764509
