John Hickenlooper,Democrat,Senate,CO,American Tower Corp,AMT:US,15 Jun,10 May 2023,36,Self,SELL,100K–250K,196.36,10000061033
Bill Keating,Democrat,House,MA,CVS Health Corp,CVS:US,15 Jun,8 Jun 2023,7,Undisclosed,SELL,1K–15K,71.75,20003764502
Bill Keating,Democrat,House,MA,McKesson Corp,MCK:US,15 Jun,8 Jun 2023,7,Undisclosed,BUY,1K–15K,389.22,20003764503
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,15 Jun,30 Aug 2022,288,Spouse,SELL,1M–5M,262.97,20003764500
Suzan DelBene,Democrat,House,WA,Microsoft Corp,MSFT:US,15 Jun,1 Mar 2023,105,Spouse,SELL,250K–500K,246.27,20003764501
Shelley Moore Capito,Republican,Senate,WV,Wells Fargo & Co,WFC:US,14 Jun,10 May 2023,35,Spouse,SELL,1K–15K,38.28,10000061018
Shelley Moore Capito,Republican,Senate,WV,Exxon Mobil Corp,XOM:US,14 Jun,10 May 2023,35,Spouse,SELL,1K–15K,107.74,10000061019
Shelley Moore Capito,Republican,Senate,WV,Citigroup Inc,C:US,14 Jun,10 May 2023,35,Spouse,SELL,1K–15K,46.37,10000061020
Shelley Moore Capito,Republican,Senate,WV,Bristol-Myers Squibb Co,BMY:US,14 Jun,10 May 2023,35,Spouse,SELL,1K–15K,68.49,10000061021
Richard Blumenthal,Democrat,Senate,CT,ARBORGEN HOLDINGS LTD,ARB:NZ,14 Jun,5 May 2023,40,Spouse,SELL,1K–15K,0.1,10000061022
Richard Blumenthal,Democrat,Senate,CT,Olo Inc,OLO:US,14 Jun,18 May 2023,27,Spouse,SELL,1K–15K,6.89,10000061023
Richard Blumenthal,Democrat,Senate,CT,ADMIRAL ACQUISITION LIMITED,ADMR:US,14 Jun,22 May 2023,23,Spouse,BUY,250K–500K,9.9,10000061024
