Ro Khanna,Democrat,House,CA,Snap-On Inc,SNA:US,14 Jun,23 May 2023,20,Child,SELL,1K–15K,258.47,20003764130
Ro Khanna,Democrat,House,CA,Citigroup Inc,C:US,14 Jun,31 May 2023,12,Spouse,BUY,100K–250K,N/A,20003764131
Ro Khanna,Democrat,House,CA,Citigroup Inc,C:US,14 Jun,3 May 2023,40,Spouse,BUY,50K–100K,N/A,20003764132
Ro Khanna,Democrat,House,CA,MORGAN STANLEY FINANCE LLC,N/A,14 Jun,31 May 2023,12,Spouse,BUY,50K–100K,N/A,20003764133
Ro Khanna,Democrat,House,CA,MORGAN STANLEY FINANCE LLC,N/A,14 Jun,4 May 2023,39,Spouse,BUY,50K–100K,N/A,20003764134
Ro Khanna,Democrat,House,CA,Royal Bank of Canada,RY:US,14 Jun,8 May 2023,35,Spouse,BUY,50K–100K,N/A,20003764135
Ro Khanna,Democrat,House,CA,BNP Paribas,BNPQY:US,14 Jun,24 May 2023,19,Spouse,BUY,50K–100K,N/A,20003764136
Ro Khanna,Democrat,House,CA,CAPPED BUFFERED ENHANCED PARTICIPATION,N/A,14 Jun,25 May 2023,18,Spouse,BUY,50K–100K,N/A,20003764137
Ro Khanna,Democrat,House,CA,Societe Generale Group,SCGLY:US,14 Jun,10 May 2023,33,Spouse,BUY,50K–100K,N/A,20003764138
Ro Khanna,Democrat,House,CA,BNP Paribas,BNPQY:US,14 Jun,1 May 2023,42,Spouse,BUY,50K–100K,N/A,20003764139
Ro Khanna,Democrat,House,CA,MORGAN STANLEY FINANCE LLC,N/A,14 Jun,3 May 2023,40,Spouse,BUY,50K–100K,N/A,20003764140
Ro Khanna,Democrat,House,CA,Royal Bank of Canada,RY:US,14 Jun,8 May 2023,35,Spouse,BUY,50K–100K,N/A,20003764141
