Victoria Spartz,Republican,House,IN,Simon Property Group Inc,SPG:US,1 May,13 Apr 2023,17,Spouse,BUY,15K–50K,108.94,20003762507
Bob Latta,Republican,House,OH,Farmers & Merchants Bancorp Inc,FMAO:US,1 May,20 Apr 2023,10,Spouse,BUY,1K–15K,23.67,20003762506
Lois Frankel,Democrat,House,FL,American Express Co,AXP:US,1 May,29 Mar 2023,30,Undisclosed,BUY,1K–15K,163.59,20003762494
Lois Frankel,Democrat,House,FL,Bank of Hawaii Corp,BOH:US,1 May,20 Mar 2023,39,Undisclosed,SELL,1K–15K,50.97,20003762495
Lois Frankel,Democrat,House,FL,Boston Scientific Corp,BSX:US,1 May,29 Mar 2023,30,Undisclosed,SELL,1K–15K,49.08,20003762496
Lois Frankel,Democrat,House,FL,ConocoPhillips,COP:US,1 May,22 Mar 2023,37,Undisclosed,BUY,1K–15K,98.37,20003762497
Lois Frankel,Democrat,House,FL,First Republic Bank,FRC:US,1 May,16 Mar 2023,43,Undisclosed,SELL,1K–15K,34.27,20003762498
Lois Frankel,Democrat,House,FL,Fluor Corp,FLR:US,1 May,16 Mar 2023,43,Undisclosed,SELL,1K–15K,30.01,20003762499
Lois Frankel,Democrat,House,FL,Halliburton Co,HAL:US,1 May,20 Mar 2023,39,Undisclosed,SELL,1K–15K,30.69,20003762500
Lois Frankel,Democrat,House,FL,Illinois Tool Works Inc,ITW:US,1 May,22 Mar 2023,37,Undisclosed,SELL,1K–15K,231.12,20003762501
Lois Frankel,Democrat,House,FL,JPMorgan Chase & Co,JPM:US,1 May,22 Mar 2023,37,Undisclosed,BUY,1K–15K,127.18,20003762502
Lois Frankel,Democrat,House,FL,The Progressive Corp,PGR:US,1 May,22 Mar 2023,37,Undisclosed,SELL,1K–15K,136.69,20003762503
